Province,Cases,Deaths,Recoveries,Active Cases,Date
Nimruz Province,68,1,30,,2020-05-16
Nuristan Province,4,0,0,,2020-05-16
Paktia Province,283,5,44,,2020-05-16
Paktika Province,38,1,1,,2020-05-16
Panjshir Province,85,3,13,,2020-05-16
Parwan Province,40,4,1,,2020-05-16
Samangan Province,112,1,8,,2020-05-16
Sar-e Pol Province,39,1,0,,2020-05-16
Takhar Province,140,8,8,,2020-05-16
Urozgan Province,5,0,1,,2020-05-16
Wardak Province,97,2,4,,2020-05-16
Zabul Province,38,–,7,,2020-05-16
Badakhshan Province,16,0,1,,2020-05-15
Badghis Province,80,0,2,,2020-05-15
Baghlan Province,113,3,4,,2020-05-15
Balkh Province,461,22,12,,2020-05-15
Bamyan Province,36,1,9,,2020-05-15
Daykundi Province,16,1,8,,2020-05-15
Farah Province,39,0,12,,2020-05-15
Faryab Province,43,3,4,,2020-05-15
Ghazni Province,128,7,12,,2020-05-15
Ghor Province,39,0,2,,2020-05-15
Helmand Province,45,0,17,,2020-05-15
Herat Province,"1,067",22,183,,2020-05-15
Jowzjan Province,88,4,2,,2020-05-15
Kabul Province,"1,718",19,206,,2020-05-15
Kandahar Province,626,15,43,,2020-05-15
Kapisa Province,24,0,2,,2020-05-15
Khost Province,14,1,0,,2020-05-15
Kunar Province,71,2,3,,2020-05-15
Kunduz Province,70,2,26,,2020-05-15
Laghman Province,114,2,16,,2020-05-15
Logar Province,101,5,11,,2020-05-15
Nangarhar Province,273,15,12,,2020-05-15
Nimruz Province,63,1,30,,2020-05-15
Nuristan Province,4,0,0,,2020-05-15
Paktia Province,227,5,35,,2020-05-15
Paktika Province,38,1,1,,2020-05-15
Panjshir Province,84,3,13,,2020-05-15
Parwan Province,40,4,–,,2020-05-15
Samangan Province,112,1,8,,2020-05-15
Sar-e Pol Province,31,1,0,,2020-05-15
Takhar Province,133,7,6,,2020-05-15
Urozgan Province,5,0,1,,2020-05-15
Wardak Province,96,2,4,,2020-05-15
Zabul Province,38,–,3,,2020-05-15
Badakhshan Province,13,0,1,,2020-05-14
Badghis Province,80,0,2,,2020-05-14
Baghlan Province,113,3,4,,2020-05-14
Balkh Province,461,18,12,,2020-05-14
Bamyan Province,36,1,9,,2020-05-14
Daykundi Province,15,1,5,,2020-05-14
Farah Province,39,0,12,,2020-05-14
Faryab Province,37,2,4,,2020-05-14
Ghazni Province,126,7,10,,2020-05-14
Ghor Province,39,0,2,,2020-05-14
Helmand Province,44,0,17,,2020-05-14
Herat Province,935,22,175,,2020-05-14
Jowzjan Province,79,4,1,,2020-05-14
Kabul Province,"1,556",18,252,,2020-05-14
Kandahar Province,613,15,42,,2020-05-14
Kapisa Province,22,0,2,,2020-05-14
Khost Province,11,1,0,,2020-05-14
Kunar Province,71,1,0,,2020-05-14
Kunduz Province,65,2,23,,2020-05-14
Laghman Province,106,2,16,,2020-05-14
Logar Province,101,5,6,,2020-05-14
Nangarhar Province,247,12,13,,2020-05-14
Nimruz Province,63,1,30,,2020-05-14
Nuristan Province,4,0,0,,2020-05-14
Paktia Province,200,3,33,,2020-05-14
Paktika Province,34,1,1,,2020-05-14
Panjshir Province,79,2,1,,2020-05-14
Parwan Province,45,3,0,,2020-05-14
Samangan Province,93,1,8,,2020-05-14
Sar-e Pol Province,30,1,0,,2020-05-14
Takhar Province,133,5,4,,2020-05-14
Urozgan Province,5,0,1,,2020-05-14
Wardak Province,96,1,3,,2020-05-14
Zabul Province,33,0,3,,2020-05-14
Badakhshan Province,13,0,1,,2020-05-13
Badghis Province,80,0,2,,2020-05-13
Baghlan Province,88,3,4,,2020-05-13
Balkh Province,437,17,10,,2020-05-13
Bamyan Province,36,1,7,,2020-05-13
Daykundi Province,15,1,5,,2020-05-13
Farah Province,39,0,12,,2020-05-13
Faryab Province,36,2,4,,2020-05-13
Ghazni Province,91,7,10,,2020-05-13
Ghor Province,39,0,2,,2020-05-13
Helmand Province,44,0,17,,2020-05-13
Herat Province,935,22,175,,2020-05-13
Jowzjan Province,79,4,1,,2020-05-13
Kabul Province,"1,368",18,221,,2020-05-13
Kandahar Province,579,15,36,,2020-05-13
Kapisa Province,22,0,2,,2020-05-13
Khost Province,10,1,0,,2020-05-13
Kunar Province,71,1,0,,2020-05-13
Kunduz Province,65,2,23,,2020-05-13
Laghman Province,101,2,16,,2020-05-13
Logar Province,94,5,6,,2020-05-13
Nangarhar Province,217,12,13,,2020-05-13
Nimruz Province,58,0,30,,2020-05-13
Nuristan Province,4,0,0,,2020-05-13
Paktia Province,200,3,33,,2020-05-13
Paktika Province,30,1,1,,2020-05-13
Panjshir Province,77,2,1,,2020-05-13
Parwan Province,32,3,0,,2020-05-13
Samangan Province,73,1,6,,2020-05-13
Sar-e Pol Province,25,1,0,,2020-05-13
Takhar Province,133,5,4,,2020-05-13
Urozgan Province,5,0,1,,2020-05-13
Wardak Province,87,1,3,,2020-05-13
Zabul Province,30,0,3,,2020-05-13
Badakhshan Province,13,0,1,,2020-05-12
Badghis Province,72,0,2,,2020-05-12
Baghlan Province,81,3,4,,2020-05-12
Balkh Province,388,17,10,,2020-05-12
Bamyan Province,34,1,7,,2020-05-12
Daykundi Province,10,1,5,,2020-05-12
Farah Province,37,0,12,,2020-05-12
Faryab Province,32,2,4,,2020-05-12
Ghazni Province,91,7,4,,2020-05-12
Ghor Province,36,0,2,,2020-05-12
Helmand Province,42,0,17,,2020-05-12
Herat Province,913,20,175,,2020-05-12
Jowzjan Province,68,2,1,,2020-05-12
Kabul Province,"1,341",18,208,,2020-05-12
Kandahar Province,550,15,31,,2020-05-12
Kapisa Province,22,0,2,,2020-05-12
Khost Province,10,1,0,,2020-05-12
Kunar Province,61,1,0,,2020-05-12
Kunduz Province,63,2,7,,2020-05-12
Laghman Province,100,2,16,,2020-05-12
Logar Province,88,4,6,,2020-05-12
Nangarhar Province,194,12,13,,2020-05-12
Nimruz Province,55,0,30,,2020-05-12
Nuristan Province,4,0,0,,2020-05-12
Paktia Province,200,3,33,,2020-05-12
Paktika Province,30,1,1,,2020-05-12
Panjshir Province,75,2,0,,2020-05-12
Parwan Province,28,3,0,,2020-05-12
Samangan Province,72,0,6,,2020-05-12
Sar-e Pol Province,25,1,0,,2020-05-12
Takhar Province,108,5,2,,2020-05-12
Urozgan Province,5,0,1,,2020-05-12
Wardak Province,81,1,1,,2020-05-12
Zabul Province,27,0,3,,2020-05-12
Badakhshan Province,12,0,1,,2020-05-11
Badghis Province,52,0,2,,2020-05-11
Baghlan Province,81,3,4,,2020-05-11
Balkh Province,355,17,10,,2020-05-11
Bamyan Province,34,1,7,,2020-05-11
Daykundi Province,10,1,5,,2020-05-11
Farah Province,37,0,12,,2020-05-11
Faryab Province,31,2,4,,2020-05-11
Ghazni Province,91,7,4,,2020-05-11
Ghor Province,36,0,2,,2020-05-11
Helmand Province,35,0,16,,2020-05-11
Herat Province,901,20,175,,2020-05-11
Jowzjan Province,68,2,1,,2020-05-11
Kabul Province,"1,257",18,192,,2020-05-11
Kandahar Province,537,12,31,,2020-05-11
Kapisa Province,30,0,2,,2020-05-11
Khost Province,10,1,0,,2020-05-11
Kunar Province,61,1,0,,2020-05-11
Kunduz Province,58,2,7,,2020-05-11
Laghman Province,100,2,16,,2020-05-11
Logar Province,88,4,6,,2020-05-11
Nangarhar Province,174,12,13,,2020-05-11
Nimruz Province,53,0,12,,2020-05-11
Nuristan Province,4,0,0,,2020-05-11
Paktia Province,199,3,33,,2020-05-11
Paktika Province,30,1,1,,2020-05-11
Panjshir Province,63,2,0,,2020-05-11
Parwan Province,28,3,0,,2020-05-11
Samangan Province,72,0,6,,2020-05-11
Sar-e Pol Province,20,1,0,,2020-05-11
Takhar Province,94,5,2,,2020-05-11
Urozgan Province,4,0,1,,2020-05-11
Wardak Province,53,1,1,,2020-05-11
Zabul Province,22,0,3,,2020-05-11
Badakhshan Province,12,0,1,,2020-05-10
Badghis Province,34,0,2,,2020-05-10
Baghlan Province,81,3,4,,2020-05-10
Balkh Province,355,17,10,,2020-05-10
Bamyan Province,29,1,7,,2020-05-10
Daykundi Province,10,1,5,,2020-05-10
Farah Province,37,0,12,,2020-05-10
Faryab Province,31,2,4,,2020-05-10
Ghazni Province,91,7,4,,2020-05-10
Ghor Province,31,0,2,,2020-05-10
Helmand Province,32,0,16,,2020-05-10
Herat Province,894,20,175,,2020-05-10
Jowzjan Province,68,2,1,,2020-05-10
Kabul Province,"1,096",18,186,,2020-05-10
Kandahar Province,507,11,27,,2020-05-10
Kapisa Province,30,0,2,,2020-05-10
Khost Province,10,1,0,,2020-05-10
Kunar Province,50,1,0,,2020-05-10
Kunduz Province,53,2,7,,2020-05-10
Laghman Province,100,2,16,,2020-05-10
Logar Province,70,4,6,,2020-05-10
Nangarhar Province,158,12,12,,2020-05-10
Nimruz Province,53,0,12,,2020-05-10
Nuristan Province,2,0,0,,2020-05-10
Paktia Province,199,3,33,,2020-05-10
Paktika Province,30,1,1,,2020-05-10
Panjshir Province,63,2,0,,2020-05-10
Parwan Province,25,3,0,,2020-05-10
Samangan Province,70,0,6,,2020-05-10
Sar-e Pol Province,20,1,0,,2020-05-10
Takhar Province,94,5,2,,2020-05-10
Urozgan Province,4,0,1,,2020-05-10
Wardak Province,52,1,1,,2020-05-10
Zabul Province,22,0,3,,2020-05-10
Badakhshan Province,8,0,1,,2020-05-09
Badghis Province,34,0,2,,2020-05-09
Baghlan Province,60,3,4,,2020-05-09
Balkh Province,324,16,10,,2020-05-09
Bamyan Province,29,1,7,,2020-05-09
Daykundi Province,10,1,5,,2020-05-09
Farah Province,19,0,6,,2020-05-09
Faryab Province,31,2,4,,2020-05-09
Ghazni Province,87,6,4,,2020-05-09
Ghor Province,31,0,2,,2020-05-09
Helmand Province,27,0,16,,2020-05-09
Herat Province,835,19,175,,2020-05-09
Jowzjan Province,65,1,2,,2020-05-09
Kabul Province,979,18,139,,2020-05-09
Kandahar Province,481,9,21,,2020-05-09
Kapisa Province,19,0,2,,2020-05-09
Khost Province,10,1,0,,2020-05-09
Kunar Province,43,1,0,,2020-05-09
Kunduz Province,53,2,5,,2020-05-09
Laghman Province,88,1,21,,2020-05-09
Logar Province,70,4,6,,2020-05-09
Nangarhar Province,150,12,16,,2020-05-09
Nimruz Province,53,0,12,,2020-05-09
Nuristan Province,2,0,0,,2020-05-09
Paktia Province,198,3,29,,2020-05-09
Paktika Province,28,1,1,,2020-05-09
Panjshir Province,54,2,0,,2020-05-09
Parwan Province,17,3,0,,2020-05-09
Samangan Province,59,0,6,,2020-05-09
Sar-e Pol Province,17,1,0,,2020-05-09
Takhar Province,94,5,2,,2020-05-09
Urozgan Province,4,0,1,,2020-05-09
Wardak Province,33,1,1,,2020-05-09
Zabul Province,21,0,3,,2020-05-09
Badakhshan Province,8,0,1,,2020-05-08
Badghis Province,34,0,2,,2020-05-08
Baghlan Province,60,3,4,,2020-05-08
Balkh Province,281,15,6,,2020-05-08
Bamyan Province,28,1,7,,2020-05-08
Daykundi Province,9,1,5,,2020-05-08
Farah Province,19,0,6,,2020-05-08
Faryab Province,31,2,4,,2020-05-08
Ghazni Province,79,6,4,,2020-05-08
Ghor Province,31,0,2,,2020-05-08
Helmand Province,27,0,16,,2020-05-08
Herat Province,764,19,173,,2020-05-08
Jowzjan Province,32,1,1,,2020-05-08
Kabul Province,975,17,139,,2020-05-08
Kandahar Province,481,9,21,,2020-05-08
Kapisa Province,19,0,2,,2020-05-08
Khost Province,10,1,0,,2020-05-08
Kunar Province,42,0,1,,2020-05-08
Kunduz Province,42,2,5,,2020-05-08
Laghman Province,77,1,16,,2020-05-08
Logar Province,70,4,6,,2020-05-08
Nangarhar Province,111,12,12,,2020-05-08
Nimruz Province,53,0,12,,2020-05-08
Nuristan Province,1,0,0,,2020-05-08
Paktia Province,182,3,15,,2020-05-08
Paktika Province,28,1,1,,2020-05-08
Panjshir Province,53,0,0,,2020-05-08
Parwan Province,16,3,0,,2020-05-08
Samangan Province,59,0,6,,2020-05-08
Sar-e Pol Province,17,1,0,,2020-05-08
Takhar Province,70,5,1,,2020-05-08
Urozgan Province,4,0,1,,2020-05-08
Wardak Province,33,1,1,,2020-05-08
Zabul Province,21,0,3,,2020-05-08
Badakhshan Province,8,0,1,,2020-05-07
Badghis Province,34,0,2,,2020-05-07
Baghlan Province,60,3,4,,2020-05-07
Balkh Province,250,15,6,,2020-05-07
Bamyan Province,28,1,7,,2020-05-07
Daykundi Province,9,1,5,,2020-05-07
Farah Province,19,0,6,,2020-05-07
Faryab Province,27,2,4,,2020-05-07
Ghazni Province,79,6,4,,2020-05-07
Ghor Province,23,0,2,,2020-05-07
Helmand Province,27,0,16,,2020-05-07
Herat Province,707,19,169,,2020-05-07
Jowzjan Province,32,1,1,,2020-05-07
Kabul Province,925,17,139,,2020-05-07
Kandahar Province,464,8,21,,2020-05-07
Kapisa Province,19,0,2,,2020-05-07
Khost Province,8,1,0,,2020-05-07
Kunar Province,35,0,1,,2020-05-07
Kunduz Province,42,2,5,,2020-05-07
Laghman Province,75,1,16,,2020-05-07
Logar Province,64,4,6,,2020-05-07
Nangarhar Province,106,10,12,,2020-05-07
Nimruz Province,53,0,12,,2020-05-07
Nuristan Province,1,0,0,,2020-05-07
Paktia Province,173,3,15,,2020-05-07
Paktika Province,25,1,1,,2020-05-07
Panjshir Province,53,0,0,,2020-05-07
Parwan Province,16,3,0,,2020-05-07
Samangan Province,59,0,6,,2020-05-07
Sar-e Pol Province,17,1,0,,2020-05-07
Takhar Province,70,5,1,,2020-05-07
Urozgan Province,4,0,1,,2020-05-07
Wardak Province,33,1,1,,2020-05-07
Zabul Province,18,0,3,,2020-05-07
Badakhshan Province,2,0,1,,2020-05-05
Badghis Province,19,0,2,,2020-05-05
Baghlan Province,56,2,4,,2020-05-05
Balkh Province,208,13,5,,2020-05-05
Bamyan Province,16,1,6,,2020-05-05
Daykundi Province,9,1,5,,2020-05-05
Farah Province,17,0,6,,2020-05-05
Faryab Province,9,2,1,,2020-05-05
Ghazni Province,64,6,4,,2020-05-05
Ghor Province,23,0,2,,2020-05-05
Helmand Province,27,0,12,,2020-05-05
Herat Province,571,14,146,,2020-05-05
Jowzjan Province,32,1,0,,2020-05-05
Kabul Province,779,16,127,,2020-05-05
Kandahar Province,393,8,12,,2020-05-05
Kapisa Province,15,0,2,,2020-05-05
Khost Province,7,1,0,,2020-05-05
Kunar Province,28,0,1,,2020-05-05
Kunduz Province,37,2,5,,2020-05-05
Laghman Province,44,0,6,,2020-05-05
Logar Province,44,1,6,,2020-05-05
Nangarhar Province,82,9,9,,2020-05-05
Nimruz Province,53,0,7,,2020-05-05
Paktia Province,125,3,9,,2020-05-05
Paktika Province,16,1,1,,2020-05-05
Panjshir Province,38,0,0,,2020-05-05
Parwan Province,9,0,0,,2020-05-05
Samangan Province,48,0,6,,2020-05-05
Sar-e Pol Province,16,1,0,,2020-05-05
Takhar Province,59,4,1,,2020-05-05
Urozgan Province,4,0,1,,2020-05-05
Wardak Province,20,1,1,,2020-05-05
Zabul Province,13,0,3,,2020-05-05
Badakhshan Province,2,0,1,,2020-05-04
Badghis Province,19,0,2,,2020-05-04
Baghlan Province,56,2,4,,2020-05-04
Balkh Province,208,13,5,,2020-05-04
Bamyan Province,16,1,6,,2020-05-04
Daykundi Province,9,1,5,,2020-05-04
Farah Province,17,0,6,,2020-05-04
Faryab Province,9,2,1,,2020-05-04
Ghazni Province,64,6,4,,2020-05-04
Ghor Province,23,0,2,,2020-05-04
Helmand Province,27,0,12,,2020-05-04
Herat Province,571,14,146,,2020-05-04
Jowzjan Province,32,1,0,,2020-05-04
Kabul Province,779,16,127,,2020-05-04
Kandahar Province,393,8,12,,2020-05-04
Kapisa Province,15,0,2,,2020-05-04
Khost Province,7,1,0,,2020-05-04
Kunar Province,28,0,1,,2020-05-04
Kunduz Province,37,2,5,,2020-05-04
Laghman Province,44,0,6,,2020-05-04
Logar Province,44,1,6,,2020-05-04
Nangarhar Province,82,9,9,,2020-05-04
Nimruz Province,53,0,7,,2020-05-04
Paktia Province,125,3,9,,2020-05-04
Paktika Province,16,1,1,,2020-05-04
Panjshir Province,38,0,0,,2020-05-04
Parwan Province,9,0,0,,2020-05-04
Samangan Province,48,0,6,,2020-05-04
Sar-e Pol Province,16,1,0,,2020-05-04
Takhar Province,59,4,1,,2020-05-04
Urozgan Province,4,0,1,,2020-05-04
Wardak Province,20,1,1,,2020-05-04
Zabul Province,13,0,3,,2020-05-04
Badakhshan Province,2,0,1,,2020-05-03
Badghis Province,23,0,2,,2020-05-03
Baghlan Province,56,2,4,,2020-05-03
Balkh Province,191,13,5,,2020-05-03
Bamyan Province,16,1,6,,2020-05-03
Daykundi Province,9,1,5,,2020-05-03
Farah Province,13,0,6,,2020-05-03
Faryab Province,9,2,1,,2020-05-03
Ghazni Province,64,6,4,,2020-05-03
Ghor Province,23,0,2,,2020-05-03
Helmand Province,26,0,8,,2020-05-03
Herat Province,541,13,139,,2020-05-03
Jowzjan Province,32,1,0,,2020-05-03
Kabul Province,755,15,106,,2020-05-03
Kandahar Province,368,8,7,,2020-05-03
Kapisa Province,15,0,2,,2020-05-03
Khost Province,6,1,0,,2020-05-03
Kunar Province,23,0,1,,2020-05-03
Kunduz Province,37,2,5,,2020-05-03
Laghman Province,44,0,6,,2020-05-03
Logar Province,44,1,6,,2020-05-03
Nangarhar Province,69,9,6,,2020-05-03
Nimruz Province,52,0,7,,2020-05-03
Paktia Province,84,1,5,,2020-05-03
Paktika Province,14,1,1,,2020-05-03
Panjshir Province,38,0,0,,2020-05-03
Parwan Province,9,0,0,,2020-05-03
Samangan Province,39,0,6,,2020-05-03
Sar-e Pol Province,10,1,0,,2020-05-03
Takhar Province,59,4,1,,2020-05-03
Urozgan Province,3,0,0,,2020-05-03
Wardak Province,20,1,0,,2020-05-03
Zabul Province,10,0,3,,2020-05-03
Badakhshan Province,2,0,1,,2020-05-02
Badghis Province,18,0,2,,2020-05-02
Baghlan Province,44,2,4,,2020-05-02
Balkh Province,191,11,5,,2020-05-02
Bamyan Province,11,0,6,,2020-05-02
Daykundi Province,9,1,5,,2020-05-02
Farah Province,9,0,6,,2020-05-02
Faryab Province,9,0,1,,2020-05-02
Ghazni Province,64,3,4,,2020-05-02
Ghor Province,13,0,2,,2020-05-02
Helmand Province,25,0,8,,2020-05-02
Herat Province,522,13,133,,2020-05-02
Jowzjan Province,32,1,0,,2020-05-02
Kabul Province,692,15,106,,2020-05-02
Kandahar Province,314,7,7,,2020-05-02
Kapisa Province,15,0,2,,2020-05-02
Khost Province,6,0,0,,2020-05-02
Kunar Province,21,0,1,,2020-05-02
Kunduz Province,37,0,5,,2020-05-02
Laghman Province,39,0,1,,2020-05-02
Logar Province,44,1,6,,2020-05-02
Nangarhar Province,57,8,3,,2020-05-02
Nimruz Province,52,0,5,,2020-05-02
Paktia Province,55,1,6,,2020-05-02
Paktika Province,14,1,1,,2020-05-02
Panjshir Province,24,0,0,,2020-05-02
Parwan Province,7,0,0,,2020-05-02
Samangan Province,26,0,6,,2020-05-02
Sar-e Pol Province,7,1,0,,2020-05-02
Takhar Province,46,4,1,,2020-05-02
Urozgan Province,3,0,0,,2020-05-02
Wardak Province,13,1,0,,2020-05-02
Zabul Province,10,0,3,,2020-05-02
Badakhshan Province,2,0,1,,2020-05-01
Badghis Province,14,0,2,,2020-05-01
Baghlan Province,27,2,3,,2020-05-01
Balkh Province,169,8,3,,2020-05-01
Bamyan Province,7,0,5,,2020-05-01
Daykundi Province,9,1,5,,2020-05-01
Farah Province,9,0,6,,2020-05-01
Faryab Province,9,0,1,,2020-05-01
Ghazni Province,54,3,3,,2020-05-01
Ghor Province,10,0,1,,2020-05-01
Helmand Province,24,0,0,,2020-05-01
Herat Province,475,12,110,,2020-05-01
Jowzjan Province,10,1,0,,2020-05-01
Kabul Province,573,15,75,,2020-05-01
Kandahar Province,299,7,7,,2020-05-01
Kapisa Province,10,0,2,,2020-05-01
Khost Province,6,0,0,,2020-05-01
Kunar Province,21,0,1,,2020-05-01
Kunduz Province,37,0,5,,2020-05-01
Laghman Province,36,0,1,,2020-05-01
Logar Province,39,1,2,,2020-05-01
Nangarhar Province,41,5,2,,2020-05-01
Nimruz Province,52,0,5,,2020-05-01
Paktia Province,55,1,6,,2020-05-01
Paktika Province,14,1,1,,2020-05-01
Panjshir Province,24,0,0,,2020-05-01
Parwan Province,6,0,0,,2020-05-01
Samangan Province,26,0,6,,2020-05-01
Sar-e Pol Province,7,1,0,,2020-05-01
Takhar Province,42,4,1,,2020-05-01
Urozgan Province,3,0,0,,2020-05-01
Wardak Province,10,1,0,,2020-05-01
Zabul Province,8,0,2,,2020-05-01
Badakhshan Province,2,0,1,,2020-04-30
Badghis Province,14,0,2,,2020-04-30
Baghlan Province,27,2,3,,2020-04-30
Balkh Province,169,8,3,,2020-04-30
Bamyan Province,7,0,5,,2020-04-30
Daykundi Province,9,1,5,,2020-04-30
Farah Province,9,0,6,,2020-04-30
Faryab Province,9,0,1,,2020-04-30
Ghazni Province,54,3,3,,2020-04-30
Ghor Province,10,0,1,,2020-04-30
Helmand Province,24,0,0,,2020-04-30
Herat Province,475,12,110,,2020-04-30
Jowzjan Province,10,1,0,,2020-04-30
Kabul Province,573,15,75,,2020-04-30
Kandahar Province,299,7,7,,2020-04-30
Kapisa Province,10,0,2,,2020-04-30
Khost Province,6,0,0,,2020-04-30
Kunar Province,21,0,1,,2020-04-30
Kunduz Province,37,0,5,,2020-04-30
Laghman Province,36,0,1,,2020-04-30
Logar Province,39,1,2,,2020-04-30
Nangarhar Province,41,5,2,,2020-04-30
Nimruz Province,52,0,5,,2020-04-30
Paktia Province,55,1,6,,2020-04-30
Paktika Province,14,1,1,,2020-04-30
Panjshir Province,24,0,0,,2020-04-30
Parwan Province,6,0,0,,2020-04-30
Samangan Province,26,0,6,,2020-04-30
Sar-e Pol Province,7,1,0,,2020-04-30
Takhar Province,42,4,1,,2020-04-30
Urozgan Province,3,0,0,,2020-04-30
Wardak Province,10,1,0,,2020-04-30
Zabul Province,8,0,2,,2020-04-30
Badakhshan Province,2,0,1,,2020-04-29
Badghis Province,10,0,2,,2020-04-29
Baghlan Province,22,2,2,,2020-04-29
Balkh Province,128,8,3,,2020-04-29
Bamyan Province,7,0,2,,2020-04-29
Daykundi Province,9,1,1,,2020-04-29
Farah Province,9,0,6,,2020-04-29
Faryab Province,8,0,1,,2020-04-29
Ghazni Province,36,3,3,,2020-04-29
Ghor Province,10,0,1,,2020-04-29
Helmand Province,22,0,0,,2020-04-29
Herat Province,441,13,110,,2020-04-29
Jowzjan Province,10,1,0,,2020-04-29
Kabul Province,553,14,71,,2020-04-29
Kandahar Province,239,6,9,,2020-04-29
Kapisa Province,10,0,2,,2020-04-29
Khost Province,6,0,0,,2020-04-29
Kunar Province,21,2,0,,2020-04-29
Kunduz Province,30,0,1,,2020-04-29
Laghman Province,28,0,0,,2020-04-29
Logar Province,29,1,2,,2020-04-29
Nangarhar Province,41,5,2,,2020-04-29
Nimruz Province,52,0,5,,2020-04-29
Paktia Province,55,1,6,,2020-04-29
Paktika Province,19,1,1,,2020-04-29
Panjshir Province,15,0,0,,2020-04-29
Parwan Province,4,0,0,,2020-04-29
Samangan Province,16,0,6,,2020-04-29
Sar-e Pol Province,6,1,0,,2020-04-29
Takhar Province,31,2,1,,2020-04-29
Urozgan Province,3,0,0,,2020-04-29
Wardak Province,7,0,0,,2020-04-29
Zabul Province,8,0,2,,2020-04-29
Badakhshan Province,2,0,1,,2020-04-28
Badghis Province,10,0,2,,2020-04-28
Baghlan Province,22,2,2,,2020-04-28
Balkh Province,128,8,3,,2020-04-28
Bamyan Province,7,0,2,,2020-04-28
Daykundi Province,9,1,1,,2020-04-28
Farah Province,9,0,6,,2020-04-28
Faryab Province,8,0,1,,2020-04-28
Ghazni Province,36,3,3,,2020-04-28
Ghor Province,10,0,1,,2020-04-28
Helmand Province,22,0,0,,2020-04-28
Herat Province,441,10,110,,2020-04-28
Jowzjan Province,10,1,0,,2020-04-28
Kabul Province,494,14,60,,2020-04-28
Kandahar Province,239,6,9,,2020-04-28
Kapisa Province,10,0,2,,2020-04-28
Khost Province,6,0,0,,2020-04-28
Kunar Province,21,2,0,,2020-04-28
Kunduz Province,30,0,1,,2020-04-28
Laghman Province,28,0,0,,2020-04-28
Logar Province,29,1,2,,2020-04-28
Nangarhar Province,41,5,2,,2020-04-28
Nimruz Province,52,0,5,,2020-04-28
Paktia Province,55,1,6,,2020-04-28
Paktika Province,19,1,1,,2020-04-28
Panjshir Province,15,0,0,,2020-04-28
Parwan Province,4,0,0,,2020-04-28
Samangan Province,16,0,6,,2020-04-28
Sar-e Pol Province,6,0,1,,2020-04-28
Takhar Province,31,2,1,,2020-04-28
Urozgan Province,3,0,0,,2020-04-28
Wardak Province,7,0,0,,2020-04-28
Zabul Province,8,0,2,,2020-04-28
Badakhshan Province,1,0,1,,2020-04-27
Badghis Province,9,0,0,,2020-04-27
Baghlan Province,22,2,2,,2020-04-27
Balkh Province,91,6,3,,2020-04-27
Bamyan Province,10,0,2,,2020-04-27
Daykundi Province,9,1,1,,2020-04-27
Farah Province,10,0,6,,2020-04-27
Faryab Province,9,0,1,,2020-04-27
Ghazni Province,32,4,3,,2020-04-27
Ghor Province,10,0,1,,2020-04-27
Helmand Province,24,0,0,,2020-04-27
Herat Province,456,10,102,,2020-04-27
Jowzjan Province,11,1,0,,2020-04-27
Kabul Province,507,14,45,,2020-04-27
Kandahar Province,245,5,6,,2020-04-27
Kapisa Province,13,0,2,,2020-04-27
Khost Province,6,0,0,,2020-04-27
Kunar Province,23,1,0,,2020-04-27
Kunduz Province,30,0,1,,2020-04-27
Laghman Province,23,0,0,,2020-04-27
Logar Province,19,1,2,,2020-04-27
Nangarhar Province,36,2,0,,2020-04-27
Nimruz Province,53,0,5,,2020-04-27
Paktia Province,55,1,0,,2020-04-27
Paktika Province,11,1,0,,2020-04-27
Panjshir Province,8,0,0,,2020-04-27
Parwan Province,5,0,0,,2020-04-27
Samangan Province,17,0,6,,2020-04-27
Sar-e Pol Province,6,0,0,,2020-04-27
Takhar Province,21,2,0,,2020-04-27
Urozgan Province,3,0,0,,2020-04-27
Wardak Province,6,0,0,,2020-04-27
Zabul Province,10,0,2,,2020-04-27
Badakhshan Province,1,0,1,,2020-04-26
Badghis Province,3,0,0,,2020-04-26
Baghlan Province,13,2,2,,2020-04-26
Balkh Province,76,6,3,,2020-04-26
Bamyan Province,10,0,2,,2020-04-26
Daykundi Province,9,1,1,,2020-04-26
Farah Province,10,0,6,,2020-04-26
Faryab Province,5,0,1,,2020-04-26
Ghazni Province,19,2,3,,2020-04-26
Ghor Province,5,0,1,,2020-04-26
Helmand Province,22,0,0,,2020-04-26
Herat Province,390,8,97,,2020-04-26
Jowzjan Province,11,1,0,,2020-04-26
Kabul Province,474,14,45,,2020-04-26
Kandahar Province,224,5,6,,2020-04-26
Kapisa Province,13,0,2,,2020-04-26
Kunar Province,22,1,0,,2020-04-26
Kunduz Province,23,0,1,,2020-04-26
Laghman Province,20,0,0,,2020-04-26
Logar Province,19,1,2,,2020-04-26
Nangarhar Province,32,2,0,,2020-04-26
Nimruz Province,53,0,5,,2020-04-26
Paktia Province,35,1,0,,2020-04-26
Paktika Province,2,1,0,,2020-04-26
Panjshir Province,7,0,0,,2020-04-26
Parwan Province,5,0,0,,2020-04-26
Samangan Province,13,0,6,,2020-04-26
Sar-e Pol Province,1,0,0,,2020-04-26
Takhar Province,21,2,0,,2020-04-26
Urozgan Province,3,0,0,,2020-04-26
Wardak Province,6,0,0,,2020-04-26
Zabul Province,10,0,2,,2020-04-26
Badakhshan Province,1,0,1,,2020-04-25
