country,nuts_3,cases,cases/100k pop.,datetime
NO,vestland,879,138.1,2020-05-18T00:00:00
NO,viken,2230,179.7,2020-05-18T00:00:00
NO,oslo,2568,370.3,2020-05-18T00:00:00
NO,nordland,117,48.5,2020-05-19T00:00:00
NO,møre og romsdal,133,50.1,2020-05-19T00:00:00
NO,troms og finnmark,252,103.6,2020-05-19T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-19T00:00:00
NO,agder,338,110.0,2020-05-19T00:00:00
NO,rogaland,438,91.3,2020-05-19T00:00:00
NO,innlandet,480,129.2,2020-05-19T00:00:00
NO,trøndelag,530,113.1,2020-05-19T00:00:00
NO,vestland,880,138.2,2020-05-19T00:00:00
NO,viken,2235,180.1,2020-05-19T00:00:00
NO,oslo,2572,370.9,2020-05-19T00:00:00
NO,nordland,117,48.5,2020-05-20T00:00:00
NO,møre og romsdal,133,50.1,2020-05-20T00:00:00
NO,troms og finnmark,252,103.6,2020-05-20T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-20T00:00:00
NO,agder,338,110.0,2020-05-20T00:00:00
NO,rogaland,438,91.3,2020-05-20T00:00:00
NO,innlandet,480,129.2,2020-05-20T00:00:00
NO,trøndelag,532,113.5,2020-05-20T00:00:00
NO,vestland,881,138.4,2020-05-20T00:00:00
NO,viken,2242,180.6,2020-05-20T00:00:00
NO,oslo,2572,370.9,2020-05-20T00:00:00
NO,nordland,117,48.5,2020-05-21T00:00:00
NO,møre og romsdal,133,50.1,2020-05-21T00:00:00
NO,troms og finnmark,252,103.6,2020-05-21T00:00:00
NO,vestfold og telemark,282,67.2,2020-05-21T00:00:00
NO,agder,338,110.0,2020-05-21T00:00:00
NO,rogaland,438,91.3,2020-05-21T00:00:00
NO,innlandet,480,129.2,2020-05-21T00:00:00
NO,trøndelag,532,113.5,2020-05-21T00:00:00
NO,vestland,881,138.4,2020-05-21T00:00:00
NO,viken,2242,180.6,2020-05-21T00:00:00
NO,oslo,2572,370.9,2020-05-21T00:00:00
NO,nordland,118,48.9,2020-05-22T00:00:00
NO,møre og romsdal,133,50.1,2020-05-22T00:00:00
NO,troms og finnmark,252,103.6,2020-05-22T00:00:00
NO,vestfold og telemark,284,67.7,2020-05-22T00:00:00
NO,agder,338,110.0,2020-05-22T00:00:00
NO,rogaland,438,91.3,2020-05-22T00:00:00
NO,innlandet,486,130.9,2020-05-22T00:00:00
NO,trøndelag,532,113.5,2020-05-22T00:00:00
NO,vestland,882,138.6,2020-05-22T00:00:00
NO,viken,2257,181.8,2020-05-22T00:00:00
NO,oslo,2589,373.3,2020-05-22T00:00:00
