Date,Key,RetailAndRecreation,GroceryAndPharmacy,Parks,TransitStations,Workplaces,Residential
2020-02-27,BR_RN,-10,-3,-23,2,11,1
2020-02-27,BR_RO,-8,-5,-11,-11,17,1
2020-02-27,BR_RR,-5,0,-10,-8,15,0
2020-02-27,BR_RS,-4,0,-5,3,11,1
2020-02-27,BR_SC,-4,-2,-8,7,18,-1
2020-02-27,BR_SE,-7,-2,-8,-10,6,1
2020-02-27,BR_SP,-6,6,-13,5,11,1
2020-02-27,BR_TO,-8,-7,-4,-5,18,0
2020-02-27,BS,3,5,1,6,0,1
2020-02-27,BW,7,3,-6,-1,4,-1
2020-02-27,BY,1,2,4,4,6,-1
2020-02-27,BZ,0,5,-2,8,0,1
2020-02-27,CA,-8,-9,-6,-5,-5,4
2020-02-27,CA_AB,7,10,13,1,2,0
2020-02-27,CA_BC,2,4,23,0,3,0
2020-02-27,CA_MB,11,10,12,-4,6,0
2020-02-27,CA_NB,-24,-10,-38,-20,-16,11
2020-02-27,CA_NL,6,6,0,0,2,-1
2020-02-27,CA_NS,-6,-7,-18,-8,1,2
2020-02-27,CA_NT,13,11,,,-2,
2020-02-27,CA_NU,,,,,6,
2020-02-27,CA_ON,-13,-12,-17,-5,-8,5
2020-02-27,CA_PE,-10,6,,,-5,5
2020-02-27,CA_QC,-23,-20,-25,-10,-13,8
2020-02-27,CA_SK,10,12,22,0,2,-1
2020-02-27,CA_YT,11,4,,,4,
2020-02-27,CH,-5,1,-22,-5,-5,2
2020-02-27,CH_AG,-1,4,-23,0,0,2
2020-02-27,CH_AI,,,,,-11,
2020-02-27,CH_AR,-3,7,,-7,-1,
2020-02-27,CH_BE,-4,3,-22,-3,0,2
2020-02-27,CH_BL,-9,-4,-30,-11,-15,3
2020-02-27,CH_FR,-8,-4,-26,-15,-16,4
2020-02-27,CH_GE,-8,0,-23,0,1,2
2020-02-27,CH_GL,-5,4,,-9,1,
2020-02-27,CH_GR,-3,13,2,-8,-9,3
2020-02-27,CH_JU,-7,-3,,-13,-1,3
2020-02-27,CH_LU,-7,0,-32,-14,-13,5
2020-02-27,CH_NE,-15,-11,,-14,-17,4
2020-02-27,CH_NW,7,5,,-28,-15,
2020-02-27,CH_OW,-8,14,,-23,-14,
2020-02-27,CH_SG,-5,4,-25,-4,1,2
2020-02-27,CH_SH,-8,5,,-1,3,1
2020-02-27,CH_SO,-7,3,-38,-2,-2,2
2020-02-27,CH_SZ,0,-12,,-17,-12,3
2020-02-27,CH_TG,-5,2,-32,-4,-1,2
2020-02-27,CH_TI,-11,-4,-11,-19,-19,6
2020-02-27,CH_UR,-14,-6,,-22,-10,
2020-02-27,CH_VD,-4,-2,-35,-4,1,2
2020-02-27,CH_VS,-3,3,12,-4,-12,5
2020-02-27,CH_ZG,-4,14,,-4,0,3
2020-02-27,CH_ZH,-4,1,-34,-1,-2,1
2020-02-27,CI,1,0,5,2,2,0
2020-02-27,CL,-1,3,-4,0,1,2
2020-02-27,CL_AI,-2,6,4,4,2,1
2020-02-27,CL_AN,-1,2,-11,-1,6,1
2020-02-27,CL_AP,-2,-2,-20,-6,-1,2
2020-02-27,CL_AR,-1,0,-11,0,3,2
2020-02-27,CL_AT,-7,-1,-2,2,1,2
2020-02-27,CL_BI,-3,2,-7,11,4,2
2020-02-27,CL_CO,-1,4,-14,-5,5,2
2020-02-27,CL_LI,-3,3,-8,-2,4,1
2020-02-27,CL_LL,2,2,-2,1,2,2
2020-02-27,CL_LR,8,6,-7,-1,4,2
2020-02-27,CL_MA,-3,-1,-9,-5,-2,3
2020-02-27,CL_ML,-1,5,-6,-3,3,2
2020-02-27,CL_NB,-1,0,2,-5,-20,3
2020-02-27,CL_RM,-1,6,2,0,0,2
2020-02-27,CL_TA,-5,-3,-7,-3,6,1
2020-02-27,CL_VS,3,4,-1,3,1,2
2020-02-27,CM,-2,3,2,3,2,1
2020-02-27,CO,-5,-2,-6,4,13,-2
2020-02-27,CO_05,-3,-4,-6,3,9,-1
2020-02-27,CO_08,-1,3,3,14,13,-3
2020-02-27,CO_11,-2,0,-2,6,13,-3
2020-02-27,CO_13,-5,0,-8,-1,14,-1
2020-02-27,CO_15,-6,-2,-16,-8,18,-1
2020-02-27,CO_17,-5,-6,-5,1,8,0
2020-02-27,CO_18,0,-5,-10,,13,-1
2020-02-27,CO_19,-8,-1,-9,,17,-1
2020-02-27,CO_20,-8,-5,-12,0,20,0
2020-02-27,CO_23,-2,-4,0,2,14,-2
2020-02-27,CO_25,-8,-5,-10,-4,14,-2
2020-02-27,CO_27,-16,-2,-4,-19,11,1
2020-02-27,CO_41,-4,-2,-4,,10,-1
2020-02-27,CO_44,-9,0,-11,-11,12,-1
2020-02-27,CO_47,-6,-9,-20,-17,18,-1
2020-02-27,CO_50,-6,-3,0,-3,18,-1
2020-02-27,CO_52,-6,0,-9,1,18,-1
2020-02-27,CO_54,0,3,-1,-1,16,-2
2020-02-27,CO_63,-8,-3,-11,-2,15,-1
2020-02-27,CO_66,-12,-2,-7,7,8,0
2020-02-27,CO_68,-9,-4,-7,-3,14,-1
2020-02-27,CO_70,-8,-4,-5,-15,21,-1
2020-02-27,CO_73,-7,-6,-9,-6,14,-1
2020-02-27,CO_76,-4,-3,-4,5,13,-2
2020-02-27,CO_81,0,1,-2,-15,24,-1
2020-02-27,CO_85,-5,-2,-9,11,14,0
2020-02-27,CO_86,-8,-17,-1,,17,-1
2020-02-27,CO_88,-10,-6,-10,-10,4,
2020-02-27,CO_91,-12,-25,-14,,8,
2020-02-27,CO_95,-9,-19,-9,,16,
2020-02-27,CO_99,,,-7,,,
2020-02-27,CR,-5,0,-5,-2,20,-2
2020-02-27,CV,-2,-4,-3,3,-2,0
2020-02-27,CZ,3,11,9,-1,-1,0
2020-02-27,CZ_10,1,8,6,-2,-6,0
2020-02-27,CZ_20,4,14,16,1,-1,0
2020-02-27,CZ_31,5,11,11,4,0,0
2020-02-27,CZ_32,3,14,5,3,3,0
2020-02-27,CZ_41,-3,4,6,-14,-17,2
2020-02-27,CZ_42,2,6,6,-2,-4,1
2020-02-27,CZ_51,5,9,10,-10,2,0
2020-02-27,CZ_52,5,11,7,1,3,0
2020-02-27,CZ_53,1,11,5,0,2,0
2020-02-27,CZ_63,8,13,11,6,3,0
2020-02-27,CZ_64,5,14,15,8,4,-1
2020-02-27,CZ_71,4,8,4,1,-2,0
2020-02-27,CZ_72,4,12,13,2,2,0
2020-02-27,CZ_80,2,11,22,1,-1,0
2020-02-27,DE,-5,3,-3,-5,-4,2
2020-02-27,DE_BB,3,7,9,0,0,1
2020-02-27,DE_BE,4,7,9,-1,0,1
2020-02-27,DE_BW,-10,-2,-22,-18,-17,4
2020-02-27,DE_BY,-4,0,-9,-13,-16,3
2020-02-27,DE_HB,0,4,-5,0,-1,1
2020-02-27,DE_HE,-9,0,-12,-2,-1,2
2020-02-27,DE_HH,1,6,10,-1,-1,1
2020-02-27,DE_MV,6,5,25,5,1,0
2020-02-27,DE_NI,1,6,6,0,-1,1
2020-02-27,DE_NW,-9,4,-19,-5,-1,2
2020-02-27,DE_RP,-14,-2,-7,-5,-2,3
2020-02-27,DE_SH,4,6,20,-2,-1,1
2020-02-27,DE_SL,-16,-6,-14,-6,-4,4
2020-02-27,DE_SN,1,4,5,2,1,1
2020-02-27,DE_ST,0,4,2,-1,0,1
2020-02-27,DE_TH,-3,4,0,-1,-2,1
2020-02-27,DK,2,1,21,2,3,0
2020-02-27,DO,-16,-10,48,-22,-55,14
2020-02-27,EC,-3,-1,-4,-3,-7,2
2020-02-27,EE,0,-1,12,1,-18,3
2020-02-27,EG,1,5,1,6,11,-1
2020-02-27,ES,4,8,16,6,1,-2
2020-02-27,ES_AN,19,23,32,23,-5,-5
2020-02-27,ES_AR,8,4,19,5,3,-1
2020-02-27,ES_AS,0,4,17,5,2,-1
2020-02-27,ES_CB,-3,0,2,-3,-14,2
2020-02-27,ES_CE,6,0,19,,7,-2
2020-02-27,ES_CL,-1,5,19,9,3,-1
2020-02-27,ES_CM,2,5,15,8,3,-1
2020-02-27,ES_CN,-1,3,-3,1,-9,2
2020-02-27,ES_CT,-1,3,3,1,2,0
2020-02-27,ES_EX,1,6,19,10,3,-1
2020-02-27,ES_GA,-1,5,18,6,2,-1
2020-02-27,ES_IB,7,3,30,15,-1,-1
2020-02-27,ES_MC,1,3,16,9,3,-1
2020-02-27,ES_MD,4,6,22,6,3,-2
2020-02-27,ES_ML,-1,5,16,,2,0
2020-02-27,ES_NC,-1,2,4,-35,-3,0
2020-02-27,ES_PV,-6,-2,-21,-1,-1,1
2020-02-27,ES_RI,1,1,17,5,2,-1
2020-02-27,ES_VC,1,3,17,6,2,0
2020-02-27,FI,3,1,37,-3,-12,2
2020-02-27,FJ,1,-8,-2,-1,9,1
2020-02-27,FR,-5,-1,1,-5,-15,4
2020-02-27,FR_ARA,-2,3,8,-7,-19,5
2020-02-27,FR_BFC,-5,-1,-13,-6,-22,6
2020-02-27,FR_BRE,1,7,45,-13,-24,5
2020-02-27,FR_COR,-5,-2,-9,-6,-18,4
2020-02-27,FR_CVL,-6,1,-8,-8,-24,5
2020-02-27,FR_GES,-11,-7,-15,-18,-23,6
2020-02-27,FR_HDF,-10,-7,-20,-19,-25,7
2020-02-27,FR_IDF,-2,-4,-7,0,1,1
2020-02-27,FR_NAQ,-6,1,-6,-13,-20,5
2020-02-27,FR_NOR,-4,0,6,-9,-24,5
2020-02-27,FR_OCC,-2,4,1,5,2,1
2020-02-27,FR_PAC,-3,0,3,-9,-22,5
2020-02-27,FR_PDL,-3,2,14,-14,-24,5
2020-02-27,GA,3,1,-4,3,3,0
2020-02-27,GB,2,1,8,0,0,0
2020-02-27,GE,7,14,10,4,5,-1
2020-02-27,GH,-2,-1,-2,-1,0,1
2020-02-27,GR,3,22,8,7,3,-1
2020-02-27,GT,-1,1,3,-1,3,0
2020-02-27,GW,-4,,,,-4,
2020-02-27,HK,-24,-10,-14,-27,-9,12
2020-02-27,HN,-9,-5,-11,-7,7,0
2020-02-27,HR,0,0,5,-1,0,1
2020-02-27,HT,-4,-6,-5,-3,-4,4
2020-02-27,HU,3,10,7,2,2,0
2020-02-27,ID,0,2,-3,2,4,0
2020-02-27,ID_AC,0,0,1,-1,8,1
2020-02-27,ID_BA,1,7,-6,-8,-9,2
2020-02-27,ID_BB,0,2,5,7,2,0
2020-02-27,ID_BE,2,1,-1,-8,4,0
2020-02-27,ID_BT,2,2,10,1,3,1
2020-02-27,ID_GO,5,-2,35,-20,2,0
2020-02-27,ID_JA,2,-1,-1,2,4,0
2020-02-27,ID_JB,2,7,0,5,4,0
2020-02-27,ID_JI,-3,-1,-4,-4,5,1
2020-02-27,ID_JK,2,5,1,4,4,0
2020-02-27,ID_JT,-4,-3,-9,0,3,1
2020-02-27,ID_KB,-4,-5,-1,-8,7,1
2020-02-27,ID_KI,2,4,1,12,6,0
2020-02-27,ID_KR,-2,-2,-1,-6,6,1
2020-02-27,ID_KS,5,7,12,8,4,0
2020-02-27,ID_KT,0,1,-8,-3,3,0
2020-02-27,ID_KU,-2,-3,3,-4,3,1
2020-02-27,ID_LA,2,2,-1,-5,5,1
2020-02-27,ID_MA,-8,-7,-12,-5,2,1
2020-02-27,ID_MU,-7,-2,-5,-14,6,1
2020-02-27,ID_NB,-2,-1,-11,2,5,1
2020-02-27,ID_NT,-3,-5,-3,9,3,0
2020-02-27,ID_PA,-4,-9,2,5,7,0
2020-02-27,ID_PB,-2,-4,0,4,5,1
2020-02-27,ID_RI,0,1,-3,-7,6,1
2020-02-27,ID_SA,1,1,-9,3,8,0
2020-02-27,ID_SB,1,0,2,0,6,0
2020-02-27,ID_SG,-5,-4,-7,0,3,1
2020-02-27,ID_SN,-2,-1,-2,0,3,1
2020-02-27,ID_SR,-2,-5,-5,46,-1,1
2020-02-27,ID_SS,1,2,2,6,6,0
2020-02-27,ID_ST,-7,-9,-7,5,1,2
2020-02-27,ID_SU,-3,-2,-6,-3,5,0
2020-02-27,IE,4,3,15,4,2,0
2020-02-27,IL,4,3,24,3,1,-1
2020-02-27,IN,-1,-1,3,1,4,0
2020-02-27,IN_AN,-4,-14,-7,0,1,1
2020-02-27,IN_AP,1,0,4,2,4,0
2020-02-27,IN_AR,-6,-14,-4,-4,7,-1
2020-02-27,IN_AS,-1,2,-2,-2,12,0
2020-02-27,IN_BR,3,5,7,6,2,-2
2020-02-27,IN_CH,1,-5,8,4,1,-1
2020-02-27,IN_CT,0,0,7,3,2,0
2020-02-27,IN_DD,4,-2,8,-8,0,0
2020-02-27,IN_DL,-5,-6,2,-5,-1,1
2020-02-27,IN_DN,1,-30,-10,-10,1,0
2020-02-27,IN_GA,-5,-11,-8,-1,1,2
2020-02-27,IN_GJ,-2,-3,2,-1,0,0
2020-02-27,IN_HP,7,-1,10,12,6,-1
2020-02-27,IN_HR,3,0,7,4,3,-2
2020-02-27,IN_JH,1,1,-2,7,8,-1
2020-02-27,IN_JK,126,106,152,170,101,-5
2020-02-27,IN_KA,0,-1,3,0,5,1
2020-02-27,IN_KL,-6,-3,0,-3,3,2
2020-02-27,IN_LD,,,13,,10,
2020-02-27,IN_MH,-2,-3,-2,-1,1,1
2020-02-27,IN_ML,9,9,0,-3,17,-1
2020-02-27,IN_MN,0,2,-2,3,7,0
2020-02-27,IN_MP,0,-1,5,4,2,-1
2020-02-27,IN_MZ,14,9,16,12,1,-1
2020-02-27,IN_NL,-4,-9,-1,-4,12,1
2020-02-27,IN_OR,-1,1,2,3,2,0
2020-02-27,IN_PB,1,-2,5,1,4,0
2020-02-27,IN_PY,-10,-9,10,0,8,2
2020-02-27,IN_RJ,1,2,7,5,2,-1
2020-02-27,IN_SK,8,8,9,3,17,0
2020-02-27,IN_TG,2,2,6,5,2,0
2020-02-27,IN_TN,-5,-2,-1,-1,7,2
2020-02-27,IN_TR,-6,0,-1,-2,8,0
2020-02-27,IN_UP,2,3,6,6,2,-2
2020-02-27,IN_UT,2,-1,3,10,5,-1
2020-02-27,IN_WB,-1,1,-2,1,6,0
2020-02-27,IQ,5,11,7,12,2,3
2020-02-27,IT,-10,-3,-1,-22,-12,6
2020-02-27,IT_21,-9,-4,-2,-26,-18,7
2020-02-27,IT_23,2,3,2,-1,-14,7
2020-02-27,IT_25,-19,-7,7,-39,-23,10
2020-02-27,IT_34,-11,-5,2,-29,-15,7
2020-02-27,IT_36,-9,-4,5,-22,-14,6
2020-02-27,IT_42,-9,-4,5,-18,-16,6
2020-02-27,IT_45,-12,-6,3,-29,-15,7
2020-02-27,IT_52,-10,-7,-17,-13,-1,3
2020-02-27,IT_55,-5,0,2,-5,0,2
2020-02-27,IT_57,-6,0,11,-16,-11,6
2020-02-27,IT_62,-4,0,0,-9,1,1
2020-02-27,IT_65,-3,3,-1,-8,0,2
2020-02-27,IT_67,-2,-1,-8,-2,0,1
2020-02-27,IT_72,-6,-1,-4,-15,-16,5
2020-02-27,IT_75,-8,2,-16,-13,-4,3
2020-02-27,IT_77,-6,2,-3,-10,-2,3
2020-02-27,IT_78,-9,-1,-12,-15,-4,4
2020-02-27,IT_82,-8,-1,-5,-16,-8,4
2020-02-27,IT_88,-3,0,-6,-4,0,2
2020-02-27,IT_TN,0,3,4,-12,-18,6
2020-02-27,JM,9,11,8,4,-9,2
2020-02-27,JO,6,7,19,-1,8,-2
2020-02-27,JP,-3,6,-4,-7,0,1
2020-02-27,JP_01,-9,8,-13,-11,-1,3
2020-02-27,JP_02,1,5,2,-4,1,1
2020-02-27,JP_03,0,5,5,-7,2,1
2020-02-27,JP_04,0,6,3,-7,1,1
2020-02-27,JP_05,3,6,5,-1,2,1
2020-02-27,JP_06,2,6,2,-7,1,1
2020-02-27,JP_07,1,6,-1,-5,1,1
2020-02-27,JP_08,1,6,-4,-4,1,1
2020-02-27,JP_09,0,7,-3,-6,1,1
2020-02-27,JP_10,-1,7,0,-8,1,1
2020-02-27,JP_11,-2,8,-5,-7,0,2
2020-02-27,JP_12,-4,7,-2,-7,0,2
2020-02-27,JP_13,-8,5,-9,-10,-2,3
2020-02-27,JP_14,-6,8,2,-8,-1,2
2020-02-27,JP_15,2,6,0,-5,1,1
2020-02-27,JP_16,1,5,3,-7,1,1
2020-02-27,JP_17,-3,8,-4,-9,0,2
2020-02-27,JP_18,2,7,10,-3,1,1
2020-02-27,JP_19,1,5,-4,-4,1,1
2020-02-27,JP_20,-3,5,-10,-8,0,2
2020-02-27,JP_21,-1,8,-7,-7,1,1
2020-02-27,JP_22,1,5,1,-4,1,1
2020-02-27,JP_23,-2,6,-1,-9,1,2
2020-02-27,JP_24,-1,5,-5,-8,1,2
2020-02-27,JP_25,0,5,-5,-5,0,1
2020-02-27,JP_26,-3,2,-8,-8,0,1
2020-02-27,JP_27,-4,3,-9,-7,0,2
2020-02-27,JP_28,-2,5,-4,-5,1,1
2020-02-27,JP_29,-1,6,-6,-5,-1,1
2020-02-27,JP_30,-3,3,1,-8,1,1
2020-02-27,JP_31,0,4,1,-2,1,1
2020-02-27,JP_32,3,6,6,2,2,0
2020-02-27,JP_33,-1,4,0,-7,1,1
2020-02-27,JP_34,0,9,4,-4,1,1
2020-02-27,JP_35,2,8,9,-2,1,1
2020-02-27,JP_36,-4,5,-2,2,1,1
2020-02-27,JP_37,0,4,13,-3,1,1
2020-02-27,JP_38,2,5,4,-1,1,1
2020-02-27,JP_39,1,4,8,2,1,1
2020-02-27,JP_40,-2,6,-3,-8,0,1
2020-02-27,JP_41,2,8,-1,-4,1,1
2020-02-27,JP_42,2,6,3,-3,1,0
2020-02-27,JP_43,6,21,3,-5,0,1
2020-02-27,JP_44,0,6,-7,-4,1,1
2020-02-27,JP_45,2,7,7,-1,1,1
2020-02-27,JP_46,2,7,9,-4,2,0
2020-02-27,JP_47,-5,1,-7,-12,0,2
2020-02-27,KE,2,-2,1,4,5,0
2020-02-27,KG,0,2,-7,-2,10,0
2020-02-27,KH,-1,-1,0,-22,5,2
2020-02-27,KR,-30,-10,1,-24,-10,9
2020-02-27,KW,-18,-6,-8,-12,-24,10
2020-02-27,KZ,-4,-4,-5,5,3,2
2020-02-27,LA,1,3,2,-6,10,1
2020-02-27,LB,4,1,12,-1,0,-1
2020-02-27,LI,-12,-3,,-13,-11,
2020-02-27,LK,3,5,4,4,7,1
2020-02-27,LT,-2,5,-11,0,1,1
2020-02-27,LU,-14,-10,4,0,-1,3
2020-02-27,LV,-2,0,-7,0,2,1
2020-02-27,LY,3,7,13,11,5,1
2020-02-27,MD,-2,-2,-8,-4,4,0
2020-02-27,MK,-5,3,-6,-3,1,0
2020-02-27,ML,3,1,1,0,5,1
2020-02-27,MM,0,-1,-3,-2,6,2
2020-02-27,MN,-43,-25,-30,-42,-27,13
2020-02-27,MT,4,6,13,3,3,1
2020-02-27,MU,3,-3,-15,0,1,0
2020-02-27,MX,1,1,0,2,7,-1
2020-02-27,MX_AGU,0,0,9,0,10,-2
2020-02-27,MX_BCN,2,2,3,0,9,-2
2020-02-27,MX_BCS,0,2,-4,5,9,0
2020-02-27,MX_CAM,-4,-1,-10,-6,6,1
2020-02-27,MX_CHH,1,2,6,7,10,-2
2020-02-27,MX_CHP,-4,-3,-9,-3,12,0
2020-02-27,MX_CMX,1,1,3,2,6,-1
2020-02-27,MX_COA,-1,1,-3,0,6,0
2020-02-27,MX_COL,-3,0,-1,-5,12,-2
2020-02-27,MX_DUR,3,2,-5,9,12,-2
2020-02-27,MX_GRO,0,-2,-6,0,12,-1
2020-02-27,MX_GUA,-3,0,-2,1,7,-1
2020-02-27,MX_HID,0,-1,2,-10,6,-2
2020-02-27,MX_JAL,1,1,6,4,4,-1
2020-02-27,MX_MEX,2,1,2,4,9,-2
2020-02-27,MX_MIC,-2,-1,3,-3,9,-2
2020-02-27,MX_MOR,2,3,4,6,9,-2
2020-02-27,MX_NAY,-1,0,-1,2,4,0
2020-02-27,MX_NLE,1,4,0,3,5,0
2020-02-27,MX_OAX,-4,-3,-5,-4,3,0
2020-02-27,MX_PUE,-2,2,-3,2,4,0
2020-02-27,MX_QUE,0,1,0,12,7,-1
2020-02-27,MX_ROO,0,0,-5,0,5,1
2020-02-27,MX_SIN,2,2,0,5,7,-1
2020-02-27,MX_SLP,-2,0,2,3,6,-1
2020-02-27,MX_SON,1,2,6,5,5,-1
2020-02-27,MX_TAB,-8,-9,-23,-1,-22,7
2020-02-27,MX_TAM,1,1,-4,-3,6,0
2020-02-27,MX_TLA,3,-1,0,5,6,0
2020-02-27,MX_VER,-6,-3,-8,-1,11,-1
2020-02-27,MX_YUC,-3,2,-9,-1,9,1
2020-02-27,MX_ZAC,-2,-2,-3,-2,10,-1
2020-02-27,MY,-3,-3,-3,-4,3,1
2020-02-27,MY_01,-4,-5,-5,-4,2,2
2020-02-27,MY_02,-3,-4,-3,2,2,0
2020-02-27,MY_03,-2,0,-3,-2,2,-1
2020-02-27,MY_04,-6,-2,-8,0,2,1
2020-02-27,MY_05,-1,-3,10,-4,3,1
2020-02-27,MY_06,-6,-3,-4,-1,3,1
2020-02-27,MY_07,-6,-8,-17,-8,3,2
2020-02-27,MY_08,-6,-6,-6,0,3,2
2020-02-27,MY_09,6,3,7,-17,4,1
2020-02-27,MY_10,-1,-2,4,-8,3,1
2020-02-27,MY_11,3,0,-3,5,3,0
2020-02-27,MY_12,-3,-3,-4,-16,3,1
2020-02-27,MY_13,-2,-1,-3,-10,3,1
2020-02-27,MY_16,4,2,7,1,1,0
2020-02-27,MZ,1,0,4,2,16,-4
2020-02-27,"NA",2,3,7,-4,9,-1
2020-02-27,NE,4,4,-4,8,3,0
2020-02-27,NG,1,0,3,1,3,1
2020-02-27,NI,-3,-4,-3,-3,11,0
2020-02-27,NL,-1,-2,-9,-8,-13,3
2020-02-27,NL_DR,3,7,24,-2,4,1
2020-02-27,NL_FL,2,1,-4,3,1,1
2020-02-27,NL_FR,2,3,10,-1,4,1
2020-02-27,NL_GE,2,-2,-3,-18,-21,3
2020-02-27,NL_GR,1,3,5,-1,4,1
2020-02-27,NL_LI,-10,-2,4,-23,-23,6
2020-02-27,NL_NB,-5,-3,-17,-17,-21,5
2020-02-27,NL_NH,5,0,-12,5,1,1
2020-02-27,NL_OV,-1,2,-3,0,2,1
2020-02-27,NL_UT,-5,-7,-17,-12,-21,3
2020-02-27,NL_ZE,3,0,25,-25,-21,4
2020-02-27,NL_ZH,-2,-5,-17,-13,-20,3
2020-02-27,NO,1,3,14,0,-5,1
2020-02-27,NO_03,1,2,-3,-3,1,0
2020-02-27,NO_11,0,-1,18,-9,-21,2
2020-02-27,NO_15,5,7,20,11,1,0
2020-02-27,NO_18,12,8,30,12,0,-1
2020-02-27,NO_30,2,2,9,-1,-4,1
2020-02-27,NO_34,3,2,16,-3,-10,1
2020-02-27,NO_38,3,5,7,6,1,1
2020-02-27,NO_42,-2,5,2,7,-1,1
2020-02-27,NO_46,-6,-4,9,3,-18,2
2020-02-27,NO_50,3,4,28,1,1,0
2020-02-27,NO_54,5,5,51,35,0,-1
2020-02-27,NP,6,6,3,6,7,0
2020-02-27,NZ,0,1,-6,12,19,-2
2020-02-27,OM,0,0,0,0,9,-1
2020-02-27,PA,2,5,-6,-4,-2,0
2020-02-27,PE,0,0,-1,2,0,0
2020-02-27,PE_AMA,1,17,-2,3,1,
2020-02-27,PE_ANC,2,0,4,6,-1,0
2020-02-27,PE_APU,2,2,2,-17,-5,1
2020-02-27,PE_ARE,-1,3,2,-1,-1,1
2020-02-27,PE_AYA,8,1,3,13,-1,2
2020-02-27,PE_CAJ,12,25,16,18,-2,0
2020-02-27,PE_CAL,-2,1,0,5,0,0
2020-02-27,PE_CUS,-4,0,-4,-5,5,1
2020-02-27,PE_HUC,-6,5,-1,-5,-2,1
2020-02-27,PE_HUV,-1,,16,-4,2,
2020-02-27,PE_ICA,2,0,3,7,-2,1
2020-02-27,PE_JUN,3,-2,1,8,-2,1
2020-02-27,PE_LAL,2,-1,-2,1,-1,1
2020-02-27,PE_LAM,0,1,1,12,0,0
2020-02-27,PE_LIM,0,-1,-1,1,0,0
2020-02-27,PE_LOR,1,4,0,-2,-1,0
2020-02-27,PE_MDD,-3,1,15,10,1,0
2020-02-27,PE_MOQ,2,-1,-4,-2,1,-1
2020-02-27,PE_PAS,-4,4,-4,,1,
2020-02-27,PE_PIU,-1,1,-2,0,-2,0
2020-02-27,PE_PUN,0,16,1,6,-7,-1
2020-02-27,PE_SAM,-1,-1,0,5,3,0
2020-02-27,PE_TAC,-5,-1,-3,-5,-2,1
2020-02-27,PE_TUM,2,-6,-3,-2,1,0
2020-02-27,PE_UCA,-3,-14,-10,-3,-3,4
2020-02-27,PG,6,6,-9,0,13,0
2020-02-27,PH,-2,-1,-4,-6,6,0
2020-02-27,PK,0,2,6,2,2,0
2020-02-27,PK_BA,0,-4,-4,-3,3,2
2020-02-27,PK_GB,,,7,,11,
2020-02-27,PK_KP,-1,2,-3,1,5,0
2020-02-27,PK_PB,2,1,9,2,3,0
2020-02-27,PK_SD,-3,2,0,0,-3,2
2020-02-27,PL,3,4,4,5,8,0
2020-02-27,PL_04,6,4,7,5,3,0
2020-02-27,PL_06,1,7,8,9,3,0
2020-02-27,PL_08,5,3,17,5,1,1
2020-02-27,PL_10,6,5,8,4,1,0
2020-02-27,PL_12,3,-1,-11,8,4,0
2020-02-27,PL_14,5,3,6,1,2,0
2020-02-27,PL_16,2,4,4,4,3,0
2020-02-27,PL_18,1,5,3,8,4,0
2020-02-27,PL_20,1,3,-5,2,3,0
2020-02-27,PL_22,5,2,1,5,2,0
2020-02-27,PL_24,1,2,3,3,3,0
2020-02-27,PL_26,2,4,0,13,2,1
2020-02-27,PL_28,5,2,-7,-2,1,0
2020-02-27,PL_30,5,3,11,3,2,1
2020-02-27,PL_32,3,0,3,2,3,0
2020-02-27,PR,2,1,4,2,9,-1
2020-02-27,PT,4,6,27,6,0,0
2020-02-27,PT_20,-2,-1,3,7,-3,3
2020-02-27,PT_30,-4,7,19,-2,-3,1
2020-02-27,PY,0,0,1,-2,19,-2
2020-02-27,QA,4,6,5,-1,4,1
2020-02-27,RE,-5,-14,7,1,2,
2020-02-27,RO,-3,1,-9,-1,3,0
2020-02-27,RS,0,3,-4,4,3,-1
2020-02-27,RW,-1,-1,0,9,2,-1
2020-02-27,SA,2,5,-3,-2,3,1
2020-02-27,SE,7,4,10,-2,-5,1
2020-02-27,SE_110,-3,-5,-15,-10,-19,3
2020-02-27,SE_121,5,3,-16,-2,0,1
2020-02-27,SE_122,2,-3,-15,1,0,1
2020-02-27,SE_123,7,-4,-6,5,4,1
2020-02-27,SE_124,19,4,2,-2,1,0
2020-02-27,SE_125,11,-1,,-7,-17,2
2020-02-27,SE_211,12,6,3,4,0,0
2020-02-27,SE_212,7,7,,0,1,1
2020-02-27,SE_213,8,5,-4,1,1,1
2020-02-27,SE_214,17,0,,12,-19,4
2020-02-27,SE_221,11,5,,5,2,0
2020-02-27,SE_224,16,7,32,4,2,0
2020-02-27,SE_231,14,7,42,6,2,0
2020-02-27,SE_232,7,7,19,3,2,0
2020-02-27,SE_311,18,4,11,-7,-19,2
2020-02-27,SE_312,29,15,91,-1,-18,2
2020-02-27,SE_313,18,8,24,1,-8,1
2020-02-27,SE_321,15,9,,2,1,0
2020-02-27,SE_331,17,11,16,2,2,0
2020-02-27,SE_332,16,8,26,8,0,0
2020-02-27,SG,-12,-9,-5,-9,-4,6
2020-02-27,SI,-1,0,3,-1,-7,2
2020-02-27,SK,3,4,14,4,-5,1
2020-02-27,SN,-5,-5,0,-3,2,2
2020-02-27,SV,-1,-1,-2,-2,3,0
2020-02-27,TG,-7,-2,5,-5,2,3
2020-02-27,TH,-4,-1,-7,-8,-1,2
2020-02-27,TJ,-9,-8,-15,-3,15,0
