key,date,mobility_retail_and_recreation,mobility_grocery_and_pharmacy,mobility_parks,mobility_transit_stations,mobility_workplaces,mobility_residential
HN_YO,2020-06-19,-36,-26,-33,-29,-28,12
HR,2020-06-19,4,11,105,-12,-20,1
HT,2020-06-19,-26,-23,-15,-35,-28,10
HT_AR,2020-06-19,,,-5,,-13,
HT_CE,2020-06-19,,,-14,,-22,
HT_ND,2020-06-19,,,-15,-43,-19,
HT_NE,2020-06-19,,,,,-17,
HT_NO,2020-06-19,,,,,-10,
HT_OU,2020-06-19,-28,-25,-21,-38,-32,12
HT_SD,2020-06-19,,,,,-12,
HT_SE,2020-06-19,,,,,-20,
HU,2020-06-19,-2,2,51,-20,-26,5
ID,2020-06-19,-24,-10,-26,-43,-23,13
ID_AC,2020-06-19,-8,-1,-13,-40,-11,6
ID_BA,2020-06-19,-41,-33,-57,-77,-35,18
ID_BB,2020-06-19,-28,-9,-30,-60,-16,12
ID_BE,2020-06-19,-10,0,-22,-47,-17,9
ID_BT,2020-06-19,-21,-10,-4,-54,-24,16
ID_GO,2020-06-19,-18,-12,5,-36,-20,14
ID_JA,2020-06-19,-16,-5,-13,-45,-15,9
ID_JB,2020-06-19,-32,-2,-13,-37,-25,15
ID_JI,2020-06-19,-19,-8,-26,-45,-22,14
ID_JK,2020-06-19,-33,-13,-83,-49,-33,17
ID_JT,2020-06-19,-13,-5,-23,-42,-19,13
ID_KB,2020-06-19,-28,-15,-22,-46,-19,11
ID_KI,2020-06-19,-21,-8,-17,-44,-18,11
ID_KR,2020-06-19,-27,-18,-24,-61,-15,13
ID_KS,2020-06-19,-25,-16,-31,-50,-22,13
ID_KT,2020-06-19,-28,-23,-36,-43,-18,11
ID_KU,2020-06-19,-16,1,-12,-35,-10,9
ID_LA,2020-06-19,-12,5,-14,-36,-21,9
ID_MA,2020-06-19,-32,-24,-28,-58,-22,14
ID_MU,2020-06-19,-27,0,-19,-36,-16,11
ID_NB,2020-06-19,-20,-10,-27,-58,-16,12
ID_NT,2020-06-19,-18,-5,-9,-32,-8,9
ID_PA,2020-06-19,-31,-21,-19,-46,-15,12
ID_PB,2020-06-19,-24,-11,-31,-58,-19,12
ID_RI,2020-06-19,-14,-5,-10,-44,-16,9
ID_SA,2020-06-19,-35,-13,-23,-50,-21,14
ID_SB,2020-06-19,-14,-1,-15,-41,-20,10
ID_SG,2020-06-19,-22,-9,-22,-38,-15,11
ID_SN,2020-06-19,-26,-9,-17,-54,-26,13
ID_SR,2020-06-19,-13,-2,-22,-44,-8,10
ID_SS,2020-06-19,-23,-10,-8,-45,-21,11
ID_ST,2020-06-19,-18,-10,-8,-40,-12,9
ID_SU,2020-06-19,-24,-12,-26,-41,-20,11
ID_YO,2020-06-19,-33,-24,-46,-65,-32,15
IE,2020-06-19,-43,2,-11,-43,-46,18
IL,2020-06-19,-12,2,62,-4,-9,2
IN,2020-06-19,-57,1,-50,-38,-34,15
IN_AN,2020-06-19,-61,-79,-63,-21,-12,12
IN_AP,2020-06-19,-54,3,-48,-31,-21,16
IN_AR,2020-06-19,-56,-10,-11,-41,-5,8
IN_AS,2020-06-19,-57,-1,-17,-31,-10,10
IN_BR,2020-06-19,-43,35,10,-23,-15,5
IN_CH,2020-06-19,-63,-34,-84,-53,-41,17
IN_CT,2020-06-19,-52,16,-51,-41,-15,9
IN_DD,2020-06-19,-74,-40,-76,-46,-31,22
IN_DL,2020-06-19,-64,-29,-86,-60,-49,22
IN_DN,2020-06-19,-54,40,-53,-65,-15,13
IN_GA,2020-06-19,-63,-28,-75,-43,-29,16
IN_GJ,2020-06-19,-57,-3,-60,-28,-28,14
IN_HP,2020-06-19,-52,4,-34,-9,-12,6
IN_HR,2020-06-19,-56,-6,-78,-49,-34,15
IN_JH,2020-06-19,-53,8,-30,-36,-21,10
IN_JK,2020-06-19,117,345,344,380,154,11
IN_KA,2020-06-19,-50,4,-62,-28,-38,16
IN_KL,2020-06-19,-57,10,-7,-26,-22,17
IN_LD,2020-06-19,,,21,,16,
IN_MH,2020-06-19,-67,-14,-65,-55,-50,24
IN_ML,2020-06-19,-58,-33,-16,-12,-8,12
IN_MN,2020-06-19,-67,-9,-4,4,-20,8
IN_MP,2020-06-19,-55,12,-61,-30,-28,11
IN_MZ,2020-06-19,-78,-30,-17,-32,-33,12
IN_NL,2020-06-19,-64,-33,-61,-40,-14,10
IN_OR,2020-06-19,-55,5,-21,-32,-21,7
IN_PB,2020-06-19,-51,5,-66,-42,-25,10
IN_PY,2020-06-19,-56,-2,-72,-33,-21,23
IN_RJ,2020-06-19,-51,22,-64,-28,-22,8
IN_SK,2020-06-19,-54,-29,-42,-58,-8,10
IN_TG,2020-06-19,-59,-1,-57,-34,-40,17
IN_TN,2020-06-19,-64,-22,-40,-41,-43,25
IN_TR,2020-06-19,-56,4,1,-30,-8,10
IN_UP,2020-06-19,-51,20,-39,-39,-27,10
IN_UT,2020-06-19,-48,8,-39,-31,-18,12
IN_WB,2020-06-19,-62,1,-36,-42,-31,14
IQ,2020-06-19,-43,-23,-32,-42,-8,12
IT,2020-06-19,-16,-8,41,-31,-28,6
IT_21,2020-06-19,-16,-8,60,-29,-30,7
IT_23,2020-06-19,-33,-8,28,-22,-31,4
IT_25,2020-06-19,-22,-14,36,-43,-33,9
IT_34,2020-06-19,-15,-7,37,-35,-26,6
IT_36,2020-06-19,-18,-7,21,-27,-27,7
IT_42,2020-06-19,-3,3,104,-12,-26,5
IT_45,2020-06-19,-14,-8,52,-29,-26,5
IT_52,2020-06-19,-15,-9,81,-21,-26,5
IT_55,2020-06-19,-15,-9,51,-10,-24,4
IT_57,2020-06-19,-10,-7,80,-11,-23,4
IT_62,2020-06-19,-22,-9,5,-40,-34,8
IT_65,2020-06-19,-11,-3,53,-14,-24,4
IT_67,2020-06-19,-10,-4,43,-12,-25,4
IT_72,2020-06-19,-15,-3,15,-26,-27,5
IT_75,2020-06-19,-8,-1,66,-32,-24,2
IT_77,2020-06-19,-12,-1,33,-23,-26,4
IT_78,2020-06-19,-12,-4,48,-16,-27,5
IT_82,2020-06-19,-16,-6,36,-32,-27,3
IT_88,2020-06-19,-12,-3,68,-20,-26,4
IT_TN,2020-06-19,-28,-12,-19,-33,-30,6
JM,2020-06-19,-26,-15,-31,-22,-26,15
JO,2020-06-19,-16,-4,8,-74,-7,3
JP,2020-06-19,-15,-5,-26,-26,-15,9
JP_01,2020-06-19,-11,2,10,-23,-7,4
JP_02,2020-06-19,-2,1,18,-18,-5,3
JP_03,2020-06-19,-2,0,13,-17,-6,4
JP_04,2020-06-19,-11,-1,-6,-25,-9,7
JP_05,2020-06-19,1,1,40,-17,-4,3
JP_06,2020-06-19,-2,1,21,-16,-8,4
JP_07,2020-06-19,-6,-2,-16,-22,-9,6
JP_08,2020-06-19,-9,-5,-32,-27,-12,9
JP_09,2020-06-19,-8,-6,-28,-26,-12,8
JP_10,2020-06-19,-7,-5,-24,-25,-14,8
JP_11,2020-06-19,-15,-9,-42,-25,-18,12
JP_12,2020-06-19,-20,-10,-39,-29,-18,12
JP_13,2020-06-19,-36,-17,-47,-35,-27,16
JP_14,2020-06-19,-23,-13,-41,-29,-24,14
JP_15,2020-06-19,-1,4,12,-21,-8,5
JP_16,2020-06-19,-4,1,-6,-21,-11,7
JP_17,2020-06-19,-8,0,-7,-31,-11,7
JP_18,2020-06-19,-4,1,-10,-15,-11,7
JP_19,2020-06-19,-12,-6,-34,-28,-12,8
JP_20,2020-06-19,-7,0,-25,-25,-10,7
JP_21,2020-06-19,-4,0,-32,-21,-13,8
JP_22,2020-06-19,-9,-6,-36,-30,-13,8
JP_23,2020-06-19,-5,-1,-24,-23,-18,9
JP_24,2020-06-19,-3,-4,-30,-26,-11,7
JP_25,2020-06-19,-9,1,-19,-29,-13,8
JP_26,2020-06-19,-16,-2,-30,-30,-14,8
JP_27,2020-06-19,-20,-3,-28,-24,-14,8
JP_28,2020-06-19,-12,3,-15,-22,-13,7
JP_29,2020-06-19,-10,-2,-34,-19,-12,7
JP_30,2020-06-19,-7,0,-24,-21,-10,6
JP_31,2020-06-19,-2,5,4,-20,-7,5
JP_32,2020-06-19,-4,2,1,-20,-7,5
JP_33,2020-06-19,-5,1,-8,-24,-9,6
JP_34,2020-06-19,-6,2,-4,-26,-10,6
JP_35,2020-06-19,-4,3,-11,-23,-7,5
JP_36,2020-06-19,-7,-1,-16,-24,-7,5
JP_37,2020-06-19,-8,-1,-23,-24,-7,6
JP_38,2020-06-19,-6,-1,-14,-25,-7,5
JP_39,2020-06-19,-7,-5,-19,-21,-6,5
JP_40,2020-06-19,-13,-1,-12,-30,-12,7
JP_41,2020-06-19,-4,0,-10,-28,-9,5
JP_42,2020-06-19,-4,1,-22,-24,-6,4
JP_43,2020-06-19,-11,-2,-23,-22,-9,6
JP_44,2020-06-19,-5,-2,-27,-22,-9,6
JP_45,2020-06-19,-9,0,-27,-18,-6,4
JP_46,2020-06-19,-5,-1,-22,-25,-5,4
JP_47,2020-06-19,-13,-7,-20,-35,-9,4
KE,2020-06-19,-26,-17,-13,-23,-16,17
KG,2020-06-19,-12,-4,10,-12,-25,0
KH,2020-06-19,-18,-13,-8,-41,-20,8
KR,2020-06-19,-6,9,36,-3,-1,1
KW,2020-06-19,-69,-49,-66,-65,-38,24
KZ,2020-06-19,-3,9,19,14,-25,3
LA,2020-06-19,-8,-1,-7,-24,8,3
LB,2020-06-19,-13,6,19,-50,-20,3
LI,2020-06-19,-23,-18,,-9,-16,
LK,2020-06-19,-21,-4,-11,-20,-20,13
LT,2020-06-19,-18,27,173,-12,-24,-2
LU,2020-06-19,-19,-5,78,-24,-32,10
LV,2020-06-19,4,15,119,-6,-25,0
LY,2020-06-19,-24,-4,6,-39,-1,3
MA,2020-06-19,-52,-21,-37,-48,-28,18
MD,2020-06-19,-17,-10,5,-26,-26,6
MK,2020-06-19,-18,-1,41,-33,-16,6
ML,2020-06-19,-7,-11,-2,-34,-10,9
MM,2020-06-19,-20,-15,-13,-23,-11,11
MN,2020-06-19,11,42,43,15,5,-7
MT,2020-06-19,-14,-1,31,-21,-30,10
MU,2020-06-19,-25,-16,-30,-33,-13,12
MX,2020-06-19,-46,-11,-38,-50,-34,17
MX_AGU,2020-06-19,-37,-1,-21,-51,-27,13
MX_BCN,2020-06-19,-40,2,-23,-35,-29,14
MX_BCS,2020-06-19,-47,-17,-36,-53,-31,13
MX_CAM,2020-06-19,-52,-19,-55,-53,-38,19
MX_CHH,2020-06-19,-42,0,-18,-41,-27,13
MX_CHP,2020-06-19,-55,-22,-50,-55,-38,19
MX_CMX,2020-06-19,-63,-19,-51,-56,-50,24
MX_COA,2020-06-19,-33,-3,-23,-34,-25,12
MX_COL,2020-06-19,-37,-7,-22,-42,-22,11
MX_DUR,2020-06-19,-38,-9,-27,-36,-26,13
MX_GRO,2020-06-19,-59,-28,-53,-58,-38,18
MX_GUA,2020-06-19,-37,-5,-36,-36,-24,13
MX_HID,2020-06-19,-44,-13,-36,-53,-32,17
MX_JAL,2020-06-19,-32,-3,-29,-40,-27,12
MX_MEX,2020-06-19,-44,-8,-31,-48,-38,19
MX_MIC,2020-06-19,-34,-4,-17,-37,-22,10
MX_MOR,2020-06-19,-46,-14,-43,-46,-30,17
MX_NAY,2020-06-19,-45,-13,-41,-36,-28,13
MX_NLE,2020-06-19,-36,-2,-28,-48,-31,14
MX_OAX,2020-06-19,-52,-31,-53,-49,-33,18
MX_PUE,2020-06-19,-48,-9,-36,-38,-36,17
MX_QUE,2020-06-19,-42,-5,-35,-30,-32,17
MX_ROO,2020-06-19,-57,-26,-61,-73,-43,22
MX_SIN,2020-06-19,-53,-16,-39,-56,-38,20
MX_SLP,2020-06-19,-32,-5,-30,-44,-24,12
MX_SON,2020-06-19,-50,-15,-40,-45,-37,18
MX_TAB,2020-06-19,-55,-23,-45,-48,-38,19
MX_TAM,2020-06-19,-34,-5,-30,-45,-27,13
MX_TLA,2020-06-19,-38,-6,-26,-37,-30,16
MX_VER,2020-06-19,-44,-11,-40,-48,-31,15
MX_YUC,2020-06-19,-57,-24,-54,-61,-38,21
MX_ZAC,2020-06-19,-42,-11,-35,-39,-24,11
MY,2020-06-19,-33,-5,-19,-29,-19,12
MY_01,2020-06-19,-38,-8,-30,-34,-21,13
MY_02,2020-06-19,-31,-5,-10,-28,-11,7
MY_03,2020-06-19,-11,3,18,-13,9,4
MY_04,2020-06-19,-31,5,-32,-9,-18,11
MY_05,2020-06-19,-32,-3,-14,-1,-18,11
MY_06,2020-06-19,-27,6,5,-1,-20,7
MY_07,2020-06-19,-33,-7,-37,-28,-19,13
MY_08,2020-06-19,-28,-1,-3,15,-17,10
MY_09,2020-06-19,-15,-10,-25,-60,-21,7
MY_10,2020-06-19,-33,-5,-22,-41,-22,14
MY_11,2020-06-19,-11,2,8,3,5,3
MY_12,2020-06-19,-33,-6,-18,-50,-20,10
MY_13,2020-06-19,-34,-10,-10,-47,-18,11
MY_14,2020-06-19,-38,-9,-49,-44,-26,15
MY_15,2020-06-19,-26,-9,-21,-32,-11,13
MY_16,2020-06-19,-34,58,-36,-42,-29,12
MZ,2020-06-19,-21,-6,-25,-24,-5,11
"NA",2020-06-19,-15,0,-22,-48,-7,10
NE,2020-06-19,3,2,-13,-11,-2,-1
NG,2020-06-19,-23,-13,-27,-17,-17,15
NI,2020-06-19,-33,-16,-28,-36,-22,12
NI_AN,2020-06-19,,,,,-13,
NI_AS,2020-06-19,,-59,-19,,-12,
NI_BO,2020-06-19,,,,,-15,
NI_CA,2020-06-19,-34,,-28,-30,-17,
NI_CI,2020-06-19,-30,-16,-22,-25,-12,9
NI_CO,2020-06-19,-35,-15,-28,-66,-14,
NI_ES,2020-06-19,-36,-24,-23,-63,-14,8
NI_GR,2020-06-19,-51,-16,-26,,-21,
NI_JI,2020-06-19,,,-19,,-11,
NI_LE,2020-06-19,-36,-13,-29,-41,-14,11
NI_MD,2020-06-19,,,,,-14,
NI_MN,2020-06-19,-34,-14,-26,-38,-26,14
NI_MS,2020-06-19,-30,-26,-33,-38,-23,13
NI_MT,2020-06-19,-33,-16,-36,-35,-18,2
NI_NS,2020-06-19,,,-34,,-4,
NI_RI,2020-06-19,-39,-26,-46,-44,-21,
NL,2020-06-19,-8,1,116,-39,-29,7
NL_DR,2020-06-19,3,5,139,-33,-24,5
NL_FL,2020-06-19,-5,3,136,-35,-28,7
NL_FR,2020-06-19,-1,4,303,-1,-23,4
NL_GE,2020-06-19,0,2,136,-35,-26,6
NL_GR,2020-06-19,-14,-2,125,-40,-30,6
NL_LI,2020-06-19,-5,8,124,-29,-26,6
NL_NB,2020-06-19,-7,2,93,-45,-27,7
NL_NH,2020-06-19,-18,-2,76,-50,-34,8
NL_OV,2020-06-19,-7,3,188,-37,-25,6
NL_UT,2020-06-19,-14,-3,88,-48,-34,8
NL_ZE,2020-06-19,22,25,261,-7,-20,5
NL_ZH,2020-06-19,-9,0,80,-39,-30,7
NO,2020-06-19,10,13,190,-9,-24,-1
NO_03,2020-06-19,-7,8,203,-20,-37,3
NO_11,2020-06-19,7,5,148,-13,-22,1
NO_15,2020-06-19,16,12,202,30,-18,-3
NO_18,2020-06-19,23,14,169,2,-19,-4
NO_30,2020-06-19,18,19,300,-22,-25,0
NO_34,2020-06-19,18,14,228,-43,-18,-3
NO_38,2020-06-19,24,25,281,14,-20,-3
NO_42,2020-06-19,29,20,159,16,-21,0
NO_46,2020-06-19,6,13,144,15,-22,-1
NO_50,2020-06-19,10,12,223,-16,-26,-2
NO_54,2020-06-19,5,9,52,-15,-18,-2
NP,2020-06-19,-44,-24,-28,-41,-32,13
NZ,2020-06-19,-8,-7,-46,-34,-1,7
OM,2020-06-19,-45,-37,-54,-58,-22,15
PA,2020-06-19,-58,-29,-48,-57,-48,30
PE,2020-06-19,-69,-33,-48,-59,-51,28
PE_AMA,2020-06-19,-86,-81,-45,-72,-27,
PE_ANC,2020-06-19,-76,-35,-40,-70,-44,23
PE_APU,2020-06-19,-72,-46,-42,-63,-27,23
PE_ARE,2020-06-19,-70,-37,-37,-54,-46,27
PE_AYA,2020-06-19,-67,-28,-46,-71,-34,23
PE_CAJ,2020-06-19,-64,-33,-39,-70,-35,20
PE_CAL,2020-06-19,-62,-26,-42,-79,-55,29
PE_CUS,2020-06-19,-77,-37,-49,-65,-41,26
PE_HUC,2020-06-19,-69,-42,-44,-64,-36,21
PE_HUV,2020-06-19,-78,,-29,-55,-18,
PE_ICA,2020-06-19,-72,-37,-59,-75,-43,25
PE_JUN,2020-06-19,-72,-38,-36,-66,-37,24
PE_LAL,2020-06-19,-72,-35,-47,-61,-48,26
PE_LAM,2020-06-19,-83,-60,-58,-78,-57,21
PE_LIM,2020-06-19,-73,-47,-50,-67,-36,23
PE_LMA,2020-06-19,-69,-30,-53,-54,-57,30
PE_LOR,2020-06-19,-69,-21,-36,-71,-36,19
PE_MDD,2020-06-19,-74,-32,-49,-45,-32,0
PE_MOQ,2020-06-19,-62,-42,-55,-74,-34,27
PE_PAS,2020-06-19,-65,-53,-35,-79,-26,
PE_PIU,2020-06-19,-75,-44,-47,-72,-49,25
PE_PUN,2020-06-19,-60,-30,-35,-61,-30,22
PE_SAM,2020-06-19,-77,-32,-37,-67,-44,22
PE_TAC,2020-06-19,-65,-38,-46,-69,-41,25
PE_TUM,2020-06-19,-65,-41,-49,-67,-40,10
PE_UCA,2020-06-19,-60,-25,-34,-64,-35,19
PG,2020-06-19,12,30,-8,-11,24,1
PH,2020-06-19,-56,-29,-36,-62,-44,27
PH_00,2020-06-19,-63,-31,-62,-71,-55,30
PH_01,2020-06-19,-50,-41,-31,-52,-38,22
PH_02,2020-06-19,-50,-30,20,-42,-31,20
PH_03,2020-06-19,-51,-25,-30,-52,-39,25
PH_05,2020-06-19,-44,-17,-7,-38,-25,22
PH_06,2020-06-19,-43,-28,-37,-54,-32,21
PH_07,2020-06-19,-64,-38,-49,-67,-52,33
PH_08,2020-06-19,-45,-30,-14,-50,-28,23
PH_09,2020-06-19,-39,-22,-20,-47,-32,21
PH_10,2020-06-19,-41,-25,-28,-46,-29,21
PH_11,2020-06-19,-47,-27,-22,-46,-38,25
PH_12,2020-06-19,-28,-15,-14,-41,-26,20
PH_13,2020-06-19,-44,-28,-18,-46,-28,21
PH_14,2020-06-19,-23,-13,-16,-49,-16,16
PH_15,2020-06-19,-69,-47,-37,-53,-42,24
PH_40,2020-06-19,-51,-27,-25,-51,-44,27
PH_41,2020-06-19,-40,-28,-33,-55,-24,20
PK,2020-06-19,-36,-22,-14,-31,-26,12
PK_BA,2020-06-19,-26,-25,-11,-18,-19,10
PK_GB,2020-06-19,,,106,,29,
PK_IS,2020-06-19,-53,-37,-29,-57,-46,19
PK_JK,2020-06-19,-44,-23,47,-40,-26,11
PK_KP,2020-06-19,-19,-5,-13,-23,-12,8
PK_PB,2020-06-19,-30,-17,-9,-29,-21,12
PK_SD,2020-06-19,-47,-31,-35,-37,-35,14
PL,2020-06-19,-10,0,37,-30,-21,5
PL_02,2020-06-19,-17,-7,-10,-37,-27,7
PL_04,2020-06-19,-10,0,56,-12,-20,4
PL_06,2020-06-19,-9,0,36,-21,-2,3
PL_08,2020-06-19,-1,3,48,-21,-19,4
PL_10,2020-06-19,-5,4,40,-21,-8,3
PL_12,2020-06-19,-19,-10,-25,-39,-29,8
PL_14,2020-06-19,-14,-3,33,-39,-34,7
PL_16,2020-06-19,-10,1,-4,-25,-23,6
PL_18,2020-06-19,-6,2,67,-29,-4,4
PL_20,2020-06-19,-7,9,122,-12,-1,2
PL_22,2020-06-19,4,5,148,-16,-7,3
PL_24,2020-06-19,-13,-2,3,-26,-13,6
PL_26,2020-06-19,-12,5,41,-21,-19,4
PL_28,2020-06-19,4,10,175,-10,2,0
PL_30,2020-06-19,-10,-1,33,-32,-22,6
PL_32,2020-06-19,6,9,161,-14,-20,4
PR,2020-06-19,-17,-6,-12,-48,-28,11
PT,2020-06-19,-28,-10,16,-44,-31,14
PT_11,2020-06-19,-39,-16,-5,-50,-40,17
PT_15,2020-06-19,-18,-5,60,-37,-35,15
PT_16,2020-06-19,-21,-3,37,-57,-23,13
PT_17,2020-06-19,-27,-16,21,-17,-22,12
PT_18,2020-06-19,-26,-10,20,-11,-25,12
PT_20,2020-06-19,-22,-8,11,-52,-28,11
PT_30,2020-06-19,-32,-22,-26,-36,-33,14
PY,2020-06-19,-28,-16,-32,-39,-9,11
PY_1,2020-06-19,-24,-17,-38,-27,0,11
PY_10,2020-06-19,-31,-15,-40,-41,-15,14
PY_11,2020-06-19,-21,-15,-22,-37,-9,11
PY_12,2020-06-19,-23,-13,-29,,-4,
PY_13,2020-06-19,-24,-23,,-56,-12,14
PY_14,2020-06-19,-36,-17,-30,-67,-7,9
PY_15,2020-06-19,-19,-11,-52,,0,
PY_19,2020-06-19,-11,-2,-39,,5,
PY_2,2020-06-19,-12,-22,-19,-22,7,8
PY_3,2020-06-19,-24,-20,-24,-58,-1,13
PY_4,2020-06-19,-22,-17,-37,-33,0,10
PY_5,2020-06-19,-17,-21,-29,-45,4,12
PY_6,2020-06-19,-18,-25,-59,-45,6,
PY_7,2020-06-19,-39,-22,-43,-46,-8,12
PY_8,2020-06-19,-26,-18,-52,-81,-1,
PY_9,2020-06-19,-39,-24,-34,-51,4,12
PY_ASU,2020-06-19,-34,-12,-35,-47,-14,12
QA,2020-06-19,-43,-4,-36,-44,-15,15
RE,2020-06-19,-67,-65,-76,-73,-20,
RO,2020-06-19,-12,1,-9,-20,-12,2
RS,2020-06-19,-71,-70,-60,-75,-79,0
RU,2020-06-19,-12,6,51,-12,-25,1
RW,2020-06-19,-26,-20,-2,-26,-21,13
SA,2020-06-19,-48,-26,-60,-69,-18,16
SE,2020-06-19,-57,-26,285,-42,-79,10
SE_110,2020-06-19,-57,-30,186,-46,-81,12
SE_121,2020-06-19,-59,-28,96,-48,-79,11
SE_122,2020-06-19,-47,-21,101,-34,-77,9
SE_123,2020-06-19,-59,-27,130,-48,-80,8
SE_124,2020-06-19,-61,-29,119,-43,-78,8
SE_125,2020-06-19,-57,-27,-20,-50,-78,9
SE_211,2020-06-19,-64,-28,89,-36,-81,9
SE_212,2020-06-19,-65,-35,-51,-43,-81,10
SE_213,2020-06-19,-45,-20,82,-27,-77,8
SE_214,2020-06-19,-38,-13,,-30,-73,3
SE_221,2020-06-19,-54,-26,58,-23,-78,9
SE_224,2020-06-19,-51,-21,230,-44,-78,11
SE_231,2020-06-19,-40,-9,107,-31,-79,12
SE_232,2020-06-19,-58,-28,344,-41,-80,12
SE_311,2020-06-19,-62,-31,208,-30,-76,8
SE_312,2020-06-19,-60,-21,256,-19,-76,7
SE_313,2020-06-19,-60,-28,82,-35,-76,6
SE_321,2020-06-19,-70,-29,3,-41,-79,6
SE_331,2020-06-19,-72,-34,158,-49,-79,6
SE_332,2020-06-19,-67,-30,133,-49,-75,6
SG,2020-06-19,-36,-3,-41,-40,-37,31
SI,2020-06-19,1,-3,52,-11,-16,0
SK,2020-06-19,-11,4,32,-22,-21,6
SN,2020-06-19,-25,-18,-16,-36,-21,11
SV,2020-06-19,-56,-30,-53,-62,-48,23
SV_AH,2020-06-19,-40,-32,-51,-55,-37,-1
SV_CA,2020-06-19,,,-40,,-38,
SV_CH,2020-06-19,-46,,-35,-69,-35,
SV_CU,2020-06-19,-72,,-41,-30,-41,4
SV_LI,2020-06-19,-62,-32,-54,-48,-52,28
SV_MO,2020-06-19,,,-43,,-35,
SV_PA,2020-06-19,-50,-31,-27,-90,-38,13
SV_SA,2020-06-19,-51,-30,-51,-67,-42,21
SV_SM,2020-06-19,-51,-30,-46,-62,-37,19
SV_SO,2020-06-19,-51,-26,-39,-62,-37,19
SV_SS,2020-06-19,-57,-30,-64,-60,-53,27
SV_SV,2020-06-19,-47,,-46,,-39,
SV_UN,2020-06-19,-43,-27,-57,,-38,
SV_US,2020-06-19,-46,-29,-43,,-35,11
TG,2020-06-19,-18,-8,4,-29,-4,11
TH,2020-06-19,-15,3,-23,-34,-20,10
TJ,2020-06-19,-17,-11,-16,-29,-13,3
TR,2020-06-19,-21,17,26,-22,-18,5
TT,2020-06-19,-51,-24,-17,-73,-66,25
TW,2020-06-19,-6,6,-5,-14,2,2
TZ,2020-06-19,-6,-1,-4,-8,-10,3
UA,2020-06-19,-4,9,49,-6,-22,1
UG,2020-06-19,-40,-23,-20,-51,-23,16
US,2020-06-19,-15,0,60,-28,-36,9
US_AK,2020-06-19,3,12,124,-10,-26,6
US_AK_02020,2020-06-19,-5,8,72,-22,-33,9
US_AK_02050,2020-06-19,,-23,,,-12,
US_AK_02090,2020-06-19,2,5,,-34,-15,4
US_AK_02110,2020-06-19,-3,-24,-34,-15,-35,-1
US_AK_02122,2020-06-19,34,32,,,-21,3
US_AK_02130,2020-06-19,-32,-38,,,-18,
US_AK_02150,2020-06-19,-50,,,,-8,
US_AK_02170,2020-06-19,21,17,,,-32,5
US_AK_02185,2020-06-19,,,-46,,-25,
US_AK_02220,2020-06-19,-59,,,,-23,
US_AK_02240,2020-05-25,,,,,-54,
US_AK_02261,2020-06-19,,-12,,,-3,
US_AL,2020-06-19,-6,5,72,4,-29,6
US_AL_01001,2020-06-19,-3,16,-65,,-26,8
US_AL_01003,2020-06-19,14,26,145,14,-23,3
US_AL_01005,2020-06-19,16,2,,,-21,
US_AL_01007,2020-06-19,-42,3,,,-22,
US_AL_01009,2020-06-19,0,8,,,-25,6
US_AL_01011,2020-06-19,-22,-27,,,-31,
US_AL_01013,2020-06-19,2,-6,,-12,-30,
US_AL_01015,2020-06-19,-3,-3,-55,,-26,6
US_AL_01017,2020-06-19,-5,5,,-17,-27,8
US_AL_01019,2020-06-19,14,15,,,-19,
US_AL_01021,2020-06-19,-1,14,-23,28,-23,5
US_AL_01023,2020-06-19,-13,-19,,,-23,
US_AL_01025,2020-06-19,1,-7,,,-25,
US_AL_01027,2020-06-19,-43,-20,,,-14,
US_AL_01029,2020-06-19,-35,-13,,23,-25,
US_AL_01031,2020-06-19,-2,11,,,-24,5
US_AL_01033,2020-06-19,-1,3,-12,1,-22,3
US_AL_01035,2020-06-19,-65,-10,,21,-20,
US_AL_01037,2020-06-19,,,,,-16,
US_AL_01039,2020-06-19,4,8,,,-18,5
US_AL_01041,2020-06-19,-58,-10,,,-38,
US_AL_01043,2020-06-19,-5,8,73,20,-21,5
US_AL_01045,2020-06-19,-6,-1,,0,-24,5
US_AL_01047,2020-06-19,-5,5,,,-23,6
US_AL_01049,2020-06-19,6,7,17,-43,-22,4
US_AL_01051,2020-06-19,2,2,52,,-30,8
US_AL_01053,2020-06-19,-9,7,,,-23,5
US_AL_01055,2020-06-19,-6,0,26,9,-24,6
US_AL_01057,2020-06-19,-39,,,,-20,
US_AL_01059,2020-06-19,-1,0,,,-21,5
US_AL_01061,2020-06-19,-42,8,,,-21,-2
US_AL_01063,2020-06-19,11,-29,,2,-23,
US_AL_01065,2020-06-19,-41,-36,,,-27,
US_AL_01067,2020-06-19,-49,-19,,,-25,
US_AL_01069,2020-06-19,-4,6,49,4,-23,5
US_AL_01071,2020-06-19,-2,6,-33,,-24,4
US_AL_01073,2020-06-19,-15,0,69,-18,-34,9
US_AL_01075,2020-06-19,-32,0,,,-19,
US_AL_01077,2020-06-19,-1,4,-27,,-25,5
US_AL_01079,2020-06-19,-3,8,,,-25,5
US_AL_01081,2020-06-19,-14,3,-22,,-31,10
US_AL_01083,2020-06-19,1,4,82,,-28,8
US_AL_01085,2020-06-19,,,,18,-28,
US_AL_01087,2020-06-19,-46,-5,,7,-28,
US_AL_01089,2020-06-19,-13,3,88,-28,-35,10
US_AL_01091,2020-06-19,0,0,,,-24,
US_AL_01093,2020-06-19,-9,2,,,-19,
